,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,18-03-2020,Dividend,500.00,Interim 1,24-03-2020,-
2,10-05-2019,Dividend,900.00,Final,24-07-2019,26-07-2019
3,28-05-2018,Dividend,800.00,Final,14-08-2018,17-08-2018
4,29-05-2017,Dividend,700.00,Final,11-08-2017,16-08-2017
5,25-05-2016,Dividend,912.50,Final,18-08-2016,20-08-2016
6,30-05-2015,Dividend,812.50,Final,01-09-2015,03-09-2015
7,30-05-2014,Dividend,712.50,Final,13-08-2014,16-08-2014
8,22-05-2013,Dividend,616.50,Final,13-08-2013,16-08-2013
9,14-05-2012,Dividend,825.00,Final,14-08-2012,17-08-2012
10,19-05-2011,Dividend,725.00,Final,17-08-2011,19-08-2011
11,17-05-2010,Dividend,625.00,Final,17-08-2010,19-08-2010
