,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,10-02-2020,Dividend,30.00,Interim 2,18-02-2020,-
2,08-11-2019,Dividend,30.00,Interim,21-11-2019,-
3,02-05-2019,Dividend,540.00,Final,01-08-2019,03-08-2019
4,07-02-2019,Dividend,30.00,Interim 2,15-02-2019,-
5,08-11-2018,Dividend,30.00,Interim,19-11-2018,-
6,03-05-2018,Dividend,540.00,Final,01-08-2018,03-08-2018
7,01-02-2018,Dividend,30.00,Interim 2,09-02-2018,-
8,10-11-2017,Dividend,30.00,Interim,21-11-2017,-
9,04-05-2017,Dividend,540.00,Final,27-07-2017,29-07-2017
10,03-02-2017,Dividend,30.00,Interim 2,14-02-2017,-
11,27-10-2016,Dividend,30.00,Interim,08-11-2016,-
12,03-05-2016,Dividend,940.00,Final,03-08-2016,05-08-2016
13,29-10-2015,Dividend,30.00,Interim 2,10-11-2015,-
14,27-07-2015,Dividend,30.00,Interim,06-08-2015,-
15,26-11-2014,Dividend,440.00,Final,04-02-2015,06-02-2015
16,30-10-2014,Dividend,30.00,Interim 2,13-11-2014,-
17,23-07-2014,Dividend,30.00,Interim,06-08-2014,-
18,28-11-2013,Dividend,240.00,Final,30-01-2014,01-02-2014
19,24-10-2013,Dividend,30.00,Interim 2,05-11-2013,-
20,25-07-2013,Dividend,30.00,Interim,06-08-2013,-
21,29-11-2012,Dividend,190.00,Final,30-01-2013,01-02-2013
22,25-10-2012,Dividend,30.00,Interim 2,07-11-2012,-
23,25-07-2012,Dividend,30.00,Interim,06-08-2012,-
24,29-11-2011,Dividend,190.00,Final,30-01-2012,01-02-2012
25,20-10-2011,Dividend,30.00,Interim 2,02-11-2011,-
26,28-07-2011,Dividend,30.00,Interim,09-08-2011,-
27,25-11-2010,Dividend,250.00,Special,28-01-2011,01-02-2011
28,25-11-2010,Dividend,190.00,Final,28-01-2011,01-02-2011
29,21-10-2010,Dividend,30.00,Interim 2,02-11-2010,-
30,28-07-2010,Dividend,30.00,Interim,06-08-2010,-
31,21-12-2009,Dividend,190.00,Final,25-02-2010,01-03-2010
