,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,10-03-2020,Dividend,1200.00,Interim,19-03-2020,-
2,17-01-2020,Dividend,500.00,Interim 3,23-01-2020,-
3,10-10-2019,Dividend,4000.00,Special,17-10-2019,-
4,10-10-2019,Dividend,500.00,Interim 2,17-10-2019,-
5,09-07-2019,Dividend,500.00,Interim,16-07-2019,-
6,12-04-2019,Dividend,1800.00,Final,04-06-2019,-
7,10-01-2019,Dividend,400.00,Interim 3,17-01-2019,-
8,11-10-2018,Dividend,400.00,Interim 2,23-10-2018,-
9,10-07-2018,Dividend,400.00,Interim,17-07-2018,-
10,19-04-2018,Dividend,2900.00,Final,31-05-2018,-
11,11-01-2018,Dividend,700.00,Interim 3,22-01-2018,-
12,12-10-2017,Dividend,700.00,Interim 2,25-10-2017,-
13,13-07-2017,Dividend,700.00,Interim,24-07-2017,-
14,18-04-2017,Dividend,2750.00,Final,13-06-2017,15-06-2017
15,12-01-2017,Dividend,650.00,Interim 3,23-01-2017,-
16,13-10-2016,Dividend,650.00,Interim 2,24-10-2016,-
17,14-07-2016,Dividend,650.00,Interim,25-07-2016,-
18,18-04-2016,Dividend,2700.00,Final,06-06-2016,08-06-2016
19,12-01-2016,Dividend,550.00,Interim 3,21-01-2016,-
20,13-10-2015,Dividend,550.00,Interim 2,23-10-2015,-
21,09-07-2015,Dividend,550.00,Interim,20-07-2015,-
22,16-04-2015,Dividend,2400.00,Final,05-06-2015,09-06-2015
23,15-01-2015,Dividend,500.00,Interim 3,27-01-2015,-
24,16-10-2014,Dividend,500.00,Interim 2,29-10-2014,-
25,17-07-2014,Dividend,4000.00,Special,28-07-2014,-
26,17-07-2014,Dividend,500.00,Interim,28-07-2014,-
27,17-07-2014,Dividend,4000.00,Special,28-07-2014,-
28,16-04-2014,Dividend,2000.00,Final,06-06-2014,10-06-2014
29,16-01-2014,Dividend,400.00,Interim 3,27-01-2014,-
30,15-10-2013,Dividend,400.00,Interim 2,25-10-2013,-
31,18-07-2013,Dividend,400.00,Interim,29-07-2013,-
32,17-04-2013,Dividend,1300.00,Final,06-06-2013,08-06-2013
33,14-01-2013,Dividend,300.00,Interim 3,23-01-2013,-
34,19-10-2012,Dividend,300.00,Interim 2,31-10-2012,-
35,12-07-2012,Dividend,300.00,Interim,23-07-2012,-
36,23-04-2012,Dividend,800.00,Special,07-06-2012,09-06-2012
37,23-04-2012,Dividend,800.00,Final,07-06-2012,09-06-2012
38,17-01-2012,Dividend,300.00,Interim 3,25-01-2012,-
39,17-10-2011,Dividend,300.00,Interim 2,25-10-2011,-
40,14-07-2011,Dividend,300.00,Interim,28-07-2011,-
41,21-04-2011,Dividend,800.00,Final,08-06-2011,10-06-2011
42,17-01-2011,Dividend,200.00,Interim 3,27-01-2011,-
43,21-10-2010,Dividend,200.00,Interim 2,01-11-2010,-
44,15-07-2010,Dividend,200.00,Interim,29-07-2010,-
45,19-04-2010,Dividend,1000.00,Special,15-06-2010,17-06-2010
46,19-04-2010,Dividend,400.00,Final,15-06-2010,17-06-2010
47,15-01-2010,Dividend,200.00,Interim 3,27-01-2010,-
