,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,25-04-2019,Dividend,130.00,Final,04-07-2019,06-07-2019
2,15-05-2018,Dividend,100.00,Final,05-07-2018,07-07-2018
3,16-05-2017,Dividend,100.00,Final,20-07-2017,22-07-2017
4,25-05-2016,Dividend,80.00,Final,28-07-2016,30-07-2016
5,20-05-2015,Dividend,80.00,Final,23-07-2015,25-07-2015
6,14-05-2014,Dividend,100.00,Final,14-07-2014,16-07-2014
7,23-05-2013,Dividend,80.00,Final,15-07-2013,17-07-2013
8,18-05-2012,Dividend,120.00,Final,16-07-2012,18-07-2012
9,25-05-2011,Dividend,120.00,Final,04-07-2011,06-07-2011
10,26-05-2010,Dividend,80.00,Final,12-07-2010,14-07-2010
