,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,27-02-2020,Dividend,390.00,Interim 1,05-03-2020,-
2,06-03-2019,Dividend,185.00,Interim 2,13-03-2019,-
3,31-10-2018,Dividend,1700.00,Interim,06-11-2018,-
4,13-03-2018,Dividend,2120.00,Interim 1,20-03-2018,-
5,30-03-2017,Dividend,1770.00,Interim 2,11-04-2017,-
6,28-10-2016,Dividend,175.00,Interim,07-11-2016,-
7,27-10-2015,Dividend,350.00,Interim,30-10-2015,-
8,29-04-2015,Dividend,235.00,Final,06-07-2015,08-07-2015
9,29-10-2014,Dividend,175.00,Interim,03-11-2014,-
10,29-04-2014,Dividend,175.00,Final,04-07-2014,08-07-2014
11,31-10-2013,Dividend,150.00,Interim,06-11-2013,-
12,29-04-2013,Dividend,10.00,Final,31-05-2013,04-06-2013
13,24-04-2012,Dividend,200.00,Final,08-06-2012,12-06-2012
14,25-01-2012,Dividend,200.00,Interim,01-02-2012,-
15,25-04-2011,Dividend,350.00,Final,30-06-2011,05-07-2011
16,20-04-2010,Dividend,325.00,Final,02-07-2010,06-07-2010
