,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,14-01-2020,Dividend,50.00,Interim,24-01-2020,-
2,18-01-2019,Dividend,50.00,Interim,29-01-2019,-
3,19-01-2018,Dividend,50.00,Interim,31-01-2018,-
4,25-01-2017,Dividend,100.00,Interim,02-02-2017,-
5,20-04-2016,Dividend,50.00,Final,11-07-2016,13-07-2016
6,18-01-2016,Dividend,250.00,Interim,25-01-2016,-
7,21-04-2015,Dividend,350.00,Final,20-07-2015,22-07-2015
8,16-01-2015,Dividend,250.00,Interim,22-01-2015,-
9,17-04-2014,Dividend,250.00,Final,21-07-2014,23-07-2014
10,17-01-2014,Dividend,150.00,Interim,22-01-2014,-
11,19-04-2013,Dividend,250.00,Final,27-06-2013,01-07-2013
12,18-01-2013,Dividend,100.00,Interim,23-01-2013,-
13,25-04-2012,Dividend,200.00,Final,28-06-2012,01-07-2012
14,20-01-2012,Dividend,100.00,Interim,24-01-2012,-
15,27-04-2011,Dividend,200.00,Final,29-06-2011,01-07-2011
16,21-01-2011,Dividend,100.00,Interim,27-01-2011,-
17,23-04-2010,Dividend,300.00,Final,15-06-2010,-
