,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,25-05-2019,Dividend,100.00,Final,12-09-2019,14-09-2019
2,29-05-2018,Dividend,100.00,Final,03-09-2018,05-09-2018
3,11-05-2017,Dividend,100.00,Final,05-09-2017,07-09-2017
4,12-03-2016,Dividend,100.00,Interim,17-03-2016,-
5,06-05-2015,Dividend,50.00,Final,16-09-2015,19-09-2015
6,24-05-2014,Dividend,30.00,Final,04-09-2014,06-09-2014
7,25-05-2013,Dividend,30.00,Final,17-09-2013,19-09-2013
8,19-05-2012,Dividend,100.00,Final,17-09-2012,20-09-2012
9,28-05-2011,Dividend,50.00,Final,20-09-2011,22-09-2011
10,21-05-2010,Dividend,30.00,Final,21-09-2010,23-09-2010
