,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,12-02-2020,Dividend,240.00,Final,05-05-2020,08-05-2020
2,01-03-2019,Dividend,240.00,Final,26-04-2019,02-05-2019
3,08-02-2018,Dividend,220.00,Final,27-04-2018,03-05-2018
4,09-02-2017,Dividend,200.00,Final,28-04-2017,03-05-2017
5,04-02-2016,Dividend,185.00,Final,13-04-2016,20-04-2016
6,10-02-2015,Dividend,185.00,Final,28-04-2015,30-04-2015
7,18-02-2014,Dividend,150.00,Final,25-04-2014,29-04-2014
8,21-02-2013,Dividend,150.00,Final,30-04-2013,03-05-2013
9,23-02-2012,Dividend,150.00,Final,02-05-2012,04-05-2012
10,23-02-2011,Dividend,100.00,Final,02-05-2011,04-05-2011
11,26-02-2010,Dividend,100.00,Final,03-05-2010,05-05-2010
