,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,09-03-2020,Dividend,500.00,Interim 2,19-03-2020,-
2,09-11-2019,Dividend,600.00,Interim,21-11-2019,-
3,15-05-2019,Dividend,508.00,Final,11-07-2019,15-07-2019
4,09-11-2018,Dividend,200.00,Interim,20-11-2018,-
5,19-05-2018,Dividend,215.00,Final,02-08-2018,06-08-2018
6,09-11-2017,Dividend,200.00,Interim,20-11-2017,-
7,24-05-2017,Dividend,425.00,Final,28-07-2017,01-08-2017
8,15-03-2016,Dividend,425.00,Interim,22-03-2016,-
9,29-05-2015,Dividend,361.00,Final,06-08-2015,08-08-2015
10,28-05-2014,Dividend,323.00,Final,30-07-2014,01-08-2014
11,14-05-2013,Dividend,252.00,Final,06-08-2013,08-08-2013
12,28-05-2012,Dividend,189.00,Final,03-08-2012,07-08-2012
13,17-05-2011,Dividend,130.00,Final,02-08-2011,04-08-2011
14,24-01-2011,Dividend,100.00,Special,28-01-2011,-
15,19-05-2010,Dividend,145.00,Final,20-07-2010,22-07-2010
