,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,02-05-2019,Dividend,75.00,Final,25-07-2019,27-07-2019
2,14-05-2018,Dividend,50.00,Final,19-07-2018,21-07-2018
3,28-06-2017,Dividend,35.00,Final,26-07-2017,28-07-2017
4,27-05-2016,Dividend,25.00,Final,27-07-2016,29-07-2016
5,25-05-2015,Dividend,40.00,Final,30-07-2015,01-08-2015
6,27-05-2014,Dividend,40.00,Final,25-07-2014,30-07-2014
7,28-05-2013,Dividend,50.00,Final,26-07-2013,30-07-2013
8,28-05-2012,Dividend,50.00,Final,27-07-2012,31-07-2012
9,24-05-2011,Dividend,35.00,Final,25-07-2011,27-07-2011
10,24-05-2010,Dividend,25.00,Final,30-07-2010,03-08-2010
