,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,11-10-2019,Dividend,160.00,Interim,23-10-2019,-
2,12-04-2019,Dividend,210.00,Final,13-06-2019,15-06-2019
3,11-01-2019,Dividend,80.00,Special,24-01-2019,-
4,16-10-2018,Dividend,140.00,Interim,25-10-2018,-
5,13-04-2018,Dividend,200.00,Special,14-06-2018,16-06-2018
6,13-04-2018,Dividend,410.00,Final,14-06-2018,16-06-2018
7,24-10-2017,Dividend,260.00,Interim,31-10-2017,-
8,13-04-2017,Dividend,295.00,Final,01-06-2017,03-06-2017
9,14-10-2016,Dividend,220.00,Interim,21-10-2016,-
10,15-04-2016,Dividend,285.00,Final,09-06-2016,11-06-2016
11,12-10-2015,Dividend,200.00,Interim,16-10-2015,-
12,24-04-2015,Dividend,590.00,Final,15-06-2015,17-06-2015
13,10-10-2014,Dividend,600.00,Interim,16-10-2014,-
14,15-04-2014,Dividend,860.00,Final,29-05-2014,31-05-2014
15,11-10-2013,Dividend,400.00,Interim,17-10-2013,-
16,12-04-2013,Dividend,540.00,Final,30-05-2013,01-06-2013
17,12-10-2012,Dividend,300.00,Interim,18-10-2012,-
18,13-04-2012,Dividend,440.00,Final,24-05-2012,26-05-2012
19,13-04-2012,Dividend,200.00,Special,24-05-2012,26-05-2012
20,12-10-2011,Dividend,300.00,Interim,20-10-2011,-
21,15-04-2011,Dividend,400.00,Final,26-05-2011,28-05-2011
22,15-10-2010,Dividend,600.00,Special,21-10-2010,-
23,15-10-2010,Dividend,200.00,Interim,21-10-2010,-
24,13-04-2010,Dividend,300.00,Final,26-05-2010,29-05-2010
