,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,04-05-2019,Dividend,380.00,Final,16-08-2019,20-08-2019
2,23-04-2018,Dividend,340.00,Final,09-08-2018,11-08-2018
3,25-04-2017,Dividend,310.00,Final,08-08-2017,10-08-2017
4,18-04-2016,Dividend,275.00,Final,09-08-2016,11-08-2016
5,18-04-2015,Dividend,250.00,Final,07-08-2015,11-08-2015
6,21-04-2014,Dividend,200.00,Final,07-08-2014,09-08-2014
7,21-04-2014,Dividend,25.00,Special,07-08-2014,09-08-2014
8,26-04-2013,Dividend,190.00,Final,09-07-2013,11-07-2013
9,25-04-2012,Dividend,180.00,Final,06-07-2012,10-07-2012
10,28-04-2011,Dividend,175.00,Final,04-07-2011,06-07-2011
11,28-04-2010,Dividend,150.00,Final,29-06-2010,01-07-2010
