,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,28-02-2020,Dividend,150.00,Interim,12-03-2020,-
2,27-05-2019,Dividend,150.00,Final,08-08-2019,11-08-2019
3,23-05-2018,Dividend,225.00,Final,08-08-2018,10-08-2018
4,19-05-2017,Dividend,200.00,Final,14-08-2017,18-08-2017
5,16-03-2016,Dividend,250.00,Interim,22-03-2016,-
6,12-05-2015,Dividend,300.00,Final,23-07-2015,25-07-2015
7,22-05-2014,Dividend,250.00,Final,19-08-2014,21-08-2014
8,17-05-2013,Dividend,200.00,Final,21-08-2013,23-08-2013
9,28-05-2012,Dividend,225.00,Final,31-08-2012,04-09-2012
10,25-05-2011,Dividend,275.00,Final,25-08-2011,28-08-2011
11,18-05-2010,Dividend,175.00,Final,18-08-2010,21-08-2010
