,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,23-10-2019,Dividend,200.00,Interim,05-11-2019,-
2,06-05-2019,Dividend,200.00,Final,07-06-2019,11-06-2019
3,30-10-2018,Dividend,190.00,Interim,14-11-2018,-
4,09-05-2018,Dividend,150.00,Special,13-07-2018,17-07-2018
5,09-05-2018,Dividend,180.00,Final,13-07-2018,17-07-2018
6,27-10-2017,Dividend,170.00,Interim,08-11-2017,-
7,28-04-2017,Dividend,130.00,Final,16-06-2017,20-06-2017
8,24-10-2016,Dividend,75.00,Special,04-11-2016,-
9,24-10-2016,Dividend,110.00,Interim,04-11-2016,-
10,30-04-2016,Dividend,110.00,Final,15-07-2016,19-07-2016
11,27-10-2015,Dividend,100.00,Interim,06-11-2015,-
12,28-04-2015,Dividend,85.00,Final,19-06-2015,23-06-2015
13,20-10-2014,Dividend,75.00,Interim,05-11-2014,-
14,28-04-2014,Dividend,85.00,Final,12-06-2014,16-06-2014
15,23-10-2013,Dividend,75.00,Interim,07-11-2013,-
16,30-04-2013,Dividend,75.00,Final,13-06-2013,17-06-2013
17,15-10-2012,Dividend,75.00,Interim,29-10-2012,-
18,30-04-2012,Dividend,65.00,Final,07-06-2012,11-06-2012
19,30-04-2012,Dividend,600.00,Special,07-06-2012,11-06-2012
20,19-10-2011,Dividend,85.00,Interim,02-11-2011,-
21,29-04-2011,Dividend,85.00,Final,14-06-2011,16-06-2011
22,19-10-2010,Dividend,65.00,Interim,11-11-2010,-
23,28-04-2010,Dividend,75.00,Final,11-06-2010,15-06-2010
