,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,19-05-2017,Dividend,260.00,Final,26-05-2017,30-05-2017
2,27-05-2016,Dividend,260.00,Final,03-06-2016,07-06-2016
3,21-05-2015,Dividend,350.00,Final,28-05-2015,30-05-2015
4,23-05-2014,Dividend,150.00,Final,29-05-2014,31-05-2014
5,03-03-2014,Dividend,150.00,Interim,11-03-2014,13-03-2014
6,23-05-2013,Dividend,415.00,Final,28-05-2013,30-05-2013
7,18-05-2012,Dividend,350.00,Final,24-05-2012,26-05-2012
8,17-05-2011,Dividend,300.00,Final,20-05-2011,24-05-2011
9,14-05-2010,Dividend,200.00,Final,09-06-2010,11-06-2010
10,25-01-2010,Dividend,100.00,Interim,05-02-2010,09-02-2010
