,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,26-04-2019,Dividend,100.00,Final,03-06-2019,06-06-2019
2,26-04-2018,Dividend,135.00,Final,04-06-2018,06-06-2018
3,19-04-2017,Dividend,120.00,Final,29-05-2017,31-05-2017
4,27-04-2016,Dividend,100.00,Final,30-05-2016,01-06-2016
5,22-04-2015,Dividend,90.00,Final,21-05-2015,25-05-2015
6,23-04-2014,Dividend,80.00,Final,29-05-2014,02-06-2014
7,17-04-2013,Dividend,60.00,Final,23-05-2013,27-05-2013
8,25-04-2012,Dividend,40.00,Final,05-07-2012,09-07-2012
9,20-04-2011,Dividend,25.00,Final,17-06-2011,21-06-2011
10,27-04-2010,Dividend,15.00,Final,24-06-2010,28-06-2010
