,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,12-07-2019,AGM,08-08-2019,01-08-2019,08-08-2019,-
1,13-07-2018,AGM,06-08-2018,30-07-2018,06-08-2018,-
2,16-08-2017,COM,20-09-2017,-,-,-
3,17-07-2017,AGM,10-08-2017,03-08-2017,10-08-2017,-
4,18-07-2016,AGM,09-08-2016,02-08-2016,09-08-2016,-
5,07-04-2016,POM,09-05-2016,-,-,-
6,23-12-2015,POM,22-01-2016,-,-,-
7,21-07-2015,AGM,11-08-2015,04-08-2015,11-08-2015,-
8,23-03-2015,POM,20-04-2015,-,-,-
9,21-01-2015,POM,20-02-2015,-,-,-
10,17-07-2014,COM,14-08-2014,-,-,-
11,16-07-2014,AGM,09-08-2014,02-08-2014,09-08-2014,-
12,11-07-2013,AGM,08-08-2013,01-08-2013,08-08-2013,-
13,12-04-2013,POM,15-05-2013,-,-,-
14,13-07-2012,AGM,09-08-2012,04-08-2012,09-08-2012,-
15,19-03-2012,POM,23-04-2012,-,-,"Ordinary Resolution Under Section 293(1)(a) of the Companies Act, 1956 for consolidation of Transmission Line Business of the Company."
16,20-07-2011,AGM,10-08-2011,05-08-2011,10-08-2011,-
17,22-07-2010,AGM,21-08-2010,16-08-2010,21-08-2010,-
