,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,09-05-2019,AGM,27-06-2019,15-06-2019,27-06-2019,-
1,10-05-2018,AGM,26-06-2018,16-06-2018,26-06-2018,-
2,09-08-2017,COM,14-09-2017,-,-,-
3,12-05-2017,AGM,27-06-2017,17-06-2017,27-06-2017,-
4,11-05-2016,AGM,28-06-2016,18-06-2016,28-06-2016,Rs.5.3000 per share(530%)Final Dividend
5,25-04-2016,POM,26-05-2016,-,-,-
6,27-08-2015,POM,28-09-2015,-,-,-
7,18-05-2015,AGM,03-07-2015,26-06-2015,03-07-2015,Rs.4.3000 per share(430%)Final Dividend
8,14-05-2014,AGM,26-06-2014,18-06-2014,26-06-2014,Rs.4.2000 per share(420%)Final Dividend
9,09-05-2013,AGM,24-06-2013,08-06-2013,24-06-2013,Rs.36.5000 per share(365%)Final Dividend
10,12-11-2012,POM,17-12-2012,-,-,To alteration of the MoA.
11,08-05-2012,AGM,25-06-2012,09-06-2012,25-06-2012,Rs.30.50 per share(305%)Final Dividend
12,10-05-2011,AGM,24-06-2011,11-06-2011,24-06-2011,Rs.23.50 per share(235%)Final Dividend
13,28-05-2010,AGM,16-07-2010,03-07-2010,16-07-2010,Rs.18.50 per share(185%)Final Dividend
14,12-05-2009,AGM,26-06-2009,19-06-2009,26-06-2009,110% Final Dividend
15,09-05-2008,AGM,24-06-2008,14-06-2008,24-06-2008,105% Final Dividend
16,10-05-2007,AGM,26-06-2007,15-06-2007,26-06-2007,10% Final Dividend
17,10-05-2006,AGM,26-06-2006,19-06-2006,26-06-2006,55% Final Dividend & 25% Special Dividend
18,11-05-2005,AGM,27-06-2005,24-06-2005,27-06-2005,55% Final Dividend
19,11-05-2004,AGM,28-06-2004,18-06-2004,28-06-2004,50% Final Dividend
20,28-05-2003,AGM,18-07-2003,11-07-2003,18-07-2003,Bookclsoure
21,06-06-2001,AGM,28-08-2001,17-08-2001,28-08-2001,Final Dividend 40% (Revised)<br>
22,16-06-1998,AGM,-,17-07-1998,06-08-1998,-
23,21-10-1997,AGM,-,-,-,-
24,16-06-1997,AGM,-,24-07-1997,08-08-1997,-
