,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,21-08-2019,POM,24-09-2019,-,-,-
1,13-05-2019,AGM,12-07-2019,24-05-2019,27-05-2019,-
2,27-08-2018,POM,03-10-2018,-,-,-
3,16-05-2018,AGM,27-07-2018,29-05-2018,31-05-2018,-
4,30-05-2017,AGM,28-07-2017,07-06-2017,09-06-2017,-
5,10-02-2017,POM,17-03-2017,-,-,-
6,25-05-2016,POM,28-06-2016,-,-,-
7,20-05-2016,AGM,22-07-2016,01-06-2016,03-06-2016,Rs.8.5000 per share(850%)Dividend
8,22-05-2015,AGM,31-07-2015,05-06-2015,09-06-2015,Rs.6.2500 per share(625%)Dividend
9,18-08-2014,POM,12-09-2014,-,-,-
10,23-05-2014,AGM,30-07-2014,05-06-2014,09-06-2014,Rs.6.0000 per share(600%)Dividend
11,14-02-2014,POM,24-03-2014,-,-,-
12,17-05-2013,AGM,26-07-2013,04-06-2013,07-06-2013,Rs.5.2500 per share(525%)Dividend
13,25-05-2012,AGM,27-07-2012,13-06-2012,18-06-2012,Rs. 4.50 per Share (450% Dividend)
14,20-05-2011,AGM,29-07-2011,14-06-2011,21-06-2011,Recommended a Special Dividend of Rs. 1.65 per Ordinary Share of Re. 1/- each and a Dividend of Rs. 2.80 per Ordinary Share of Re.1/- each.
15,21-05-2010,AGM,23-07-2010,11-06-2010,18-06-2010,1000% Dividend
16,22-05-2009,AGM,24-07-2009,15-07-2009,24-07-2009,370% Dividend
17,23-05-2008,AGM,30-07-2008,18-07-2008,30-07-2008,350% Dividend
18,25-05-2007,AGM,27-07-2007,18-07-2007,27-07-2007,310% Dividend
19,26-05-2006,AGM,21-07-2006,12-07-2006,21-07-2006,265% Dividend
20,27-05-2005,AGM,29-07-2005,20-07-2005,29-07-2005,310% Dividend
21,19-10-2004,EGM,19-11-2004,-,-,"To approve Scheme of Amalgamation of ITC Hotels Ltd. and Ansal Hotels Ltd. with the company, shareholders meeting convened as per the Order of High Court of Calcutta."
22,28-05-2004,AGM,30-07-2004,21-07-2004,30-07-2004,200% Dividend
23,08-05-2003,AGM,25-07-2003,16-07-2003,25-07-2003,Bookclsoure
24,22-05-2002,AGM,26-07-2002,17-07-2002,26-07-2002,Dividend 135%
25,30-05-2001,AGM,03-08-2001,18-07-2001,03-08-2001,Dividend 100%
26,25-05-2000,AGM,28-07-2000,12-07-2000,28-07-2000,AGM & Dividend
27,25-05-1999,AGM,-,09-07-1999,30-07-1999,AGM & Dividend
28,22-05-1998,AGM,-,15-07-1998,12-08-1998,-
29,16-06-1997,AGM,-,30-07-1997,27-08-1997,-
