,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,10-05-2019,AGM,01-08-2019,26-07-2019,01-08-2019,-
1,03-10-2018,Others,-,-,-,Buy Back of Shares
2,31-08-2018,POM,03-10-2018,-,-,-
3,28-05-2018,AGM,23-08-2018,17-08-2018,23-08-2018,-
4,01-08-2017,COM,22-08-2017,-,-,-
5,13-06-2017,AGM,22-08-2017,16-08-2017,22-08-2017,-
6,02-06-2017,POM,04-07-2017,-,-,-
7,25-05-2016,AGM,26-08-2016,20-08-2016,26-08-2016,Rs.18.2500 per share(912.5%)Dividend
8,01-06-2015,AGM,09-09-2015,03-09-2015,09-09-2015,Rs.16.2500 per share(812.5%)Final Dividend
9,10-06-2014,POM,18-07-2014,-,-,-
10,30-05-2014,AGM,22-08-2014,16-08-2014,22-08-2014,Rs.14.2500 per share(712.5%)Dividend
11,16-07-2013,COM,12-08-2013,-,-,-
12,29-05-2013,POM,03-07-2013,-,-,-
13,22-05-2013,AGM,22-08-2013,16-08-2013,22-08-2013,Rs.12.3300 per share(616.5%)Dividend post bonus
14,14-05-2012,AGM,24-08-2012,17-08-2012,24-08-2012,Rs.16.50 per share(825%)Dividend
15,19-05-2011,AGM,26-08-2011,19-08-2011,26-08-2011,Rs.14.50 per share(725%)Dividend
16,13-07-2010,AGM,26-08-2010,19-08-2010,26-08-2010,Rs.12.50 per share(625%)Dividend
17,22-07-2009,AGM,28-08-2009,21-08-2009,28-08-2009,525% Dividend
18,21-07-2008,AGM,29-08-2008,22-08-2008,29-08-2008,750% Final Dividend
19,27-07-2007,AGM,24-08-2007,17-08-2007,24-08-2007,-
20,07-07-2006,AGM,25-08-2006,17-08-2006,25-08-2006,1100% Dividend
21,05-07-2005,AGM,26-08-2005,17-08-2005,26-08-2005,875% Dividend
22,28-08-2004,AGM,23-09-2004,16-09-2004,23-09-2004,800% Dividend
23,12-05-2004,Others,-,-,-,Scheme of Arrangement
24,09-01-2004,EGM,03-02-2004,-,-,"Scheme of arrangement (transfer, sell and/or dispose of the undertaking of the Company)"
25,29-05-2003,AGM,22-08-2003,13-08-2003,22-08-2003,Bookclsoure
26,14-06-2002,AGM,08-08-2002,25-07-2002,08-08-2002,Dividend 70%<br>
27,24-05-2000,AGM,27-07-2000,13-07-2000,27-07-2000,Bookclsoure
28,29-05-1998,AGM,-,15-07-1998,06-08-1998,-
29,29-05-1997,AGM,-,11-07-1997,01-08-1997,-
