,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,02-05-2019,AGM,09-08-2019,03-08-2019,09-08-2019,-
1,06-12-2018,POM,07-01-2019,-,-,-
2,03-05-2018,AGM,09-08-2018,03-08-2018,09-08-2018,-
3,05-05-2017,AGM,04-08-2017,29-07-2017,04-08-2017,-
4,14-02-2017,POM,16-03-2017,-,-,-
5,03-05-2016,AGM,11-08-2016,05-08-2016,11-08-2016,Rs.94.0000 per share(940%)Final Dividend
6,26-11-2014,AGM,12-02-2015,06-02-2015,12-02-2015,Rs.44.0000 per share(440%)Final Dividend
7,01-09-2014,POM,29-09-2014,-,-,-
8,28-11-2013,AGM,06-02-2014,01-02-2014,06-02-2014,Rs.24.0000 per share(240%)Final Dividend
9,21-08-2013,POM,30-09-2013,-,-,-
10,29-11-2012,AGM,07-02-2013,01-02-2013,07-02-2013,Rs.19.0000 per share(190%)Final Dividend
11,29-11-2011,AGM,09-02-2012,01-02-2012,09-02-2012,Rs.19.00 per share(190%)Final Dividend
12,26-11-2010,AGM,10-02-2011,01-02-2011,10-02-2011,Rs.19.00 per share(190%)Final Dividend & Rs.25.00 per share(250%)Special Dividend.
13,21-12-2009,AGM,11-03-2010,01-03-2010,11-03-2010,190% Dividend
14,19-12-2008,AGM,19-03-2009,10-03-2009,19-03-2009,140% Final Dividend
15,14-12-2007,AGM,20-03-2008,10-03-2008,20-03-2008,140% Final Dividend
16,20-12-2006,AGM,22-03-2007,13-03-2007,22-03-2007,140% Final Dividend
17,20-12-2005,AGM,23-03-2006,14-03-2006,23-03-2006,140% Final Dividend
18,23-12-2004,AGM,17-03-2005,07-03-2005,17-03-2005,140% Final Dividend
19,19-12-2003,AGM,18-03-2004,01-03-2004,18-03-2004,140% Final Dividend
20,21-12-2001,AGM,14-03-2002,01-03-2002,14-03-2002,Bookclsoure
21,07-12-2001,AGM,15-03-2001,01-03-2001,15-03-2001,-
22,07-03-2001,AGM,15-03-2002,01-03-2002,15-03-2002,-
23,30-07-1998,AGM,-,-,-,2ND INTERIM DIVIDEND
24,06-07-1998,AGM,-,-,-,2nd Interim Dividend
25,28-01-1998,AGM,-,03-03-1998,19-03-1998,-
26,10-11-1997,AGM,-,-,-,2nd Interim Dividend
27,02-07-1997,AGM,-,-,-,-
28,27-01-1997,AGM,-,01-03-1997,13-03-1997,Total Dividend 140% (including Godel Jubilee Dividend of 50%)
