,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,16-05-2019,AGM,13-06-2019,-,-,-
1,06-08-2018,Others,-,-,-,Buy Back of Shares
2,06-07-2018,POM,06-08-2018,-,-,-
3,21-05-2018,AGM,15-06-2018,-,-,-
4,26-04-2018,POM,28-05-2018,-,-,-
5,24-05-2017,AGM,16-06-2017,15-06-2017,16-06-2017,-
6,24-03-2017,POM,17-04-2017,-,-,-
7,21-11-2016,EGM,13-12-2016,-,-,-
8,25-05-2016,AGM,17-06-2016,08-06-2016,09-06-2016,Rs.27.0000 per share(2700%)Final Dividend
9,27-05-2015,AGM,30-06-2015,09-06-2015,13-06-2015,Rs.24.0000 per share(2400%)Final Dividend
10,30-03-2015,COM,28-04-2015,-,-,-
11,02-06-2014,AGM,27-06-2014,10-06-2014,13-06-2014,Rs.20.0000 per share(2000%)Final Dividend
12,01-07-2013,COM,31-05-2013,-,-,-
13,30-05-2013,AGM,28-06-2013,08-06-2013,14-06-2013,Rs.13.0000 per share(1300%)Final Dividend
14,03-05-2013,COM,31-05-2013,-,-,-
15,30-05-2012,AGM,29-06-2012,09-06-2012,15-06-2012,Rs. 8/- per share (800%) Final Dividend & Rs. 8/- per share (800%) Special Dividend
16,01-06-2011,AGM,01-07-2011,10-06-2011,23-06-2011,Rs.8.00 per share(800%)Final Dividend
17,02-06-2010,AGM,02-07-2010,17-06-2010,28-06-2010,Rs.10.00 per share(1000%)Dividend  & Rs.4.00 per share(400%)Final Dividend
18,01-06-2009,AGM,30-06-2009,-,-,500% Final Dividend (Revised)
19,27-05-2008,AGM,01-07-2008,20-06-2008,01-07-2008,500% Final Dividend
20,25-05-2007,AGM,29-06-2007,19-06-2007,29-06-2007,400% Final Dividend
21,02-06-2006,AGM,29-06-2006,20-06-2006,29-06-2006,450% Final Dividend
22,17-06-2005,AGM,19-07-2005,08-07-2005,19-07-2005,500% Dividend
