,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,29-06-2019,COM,30-07-2019,-,-,-
1,28-06-2019,AGM,30-07-2019,-,-,-
2,15-06-2018,AGM,03-08-2018,-,-,-
3,13-10-2017,COM,15-11-2017,-,-,-
4,13-06-2017,AGM,22-08-2017,-,-,-
5,24-11-2016,EGM,22-12-2016,-,-,-
6,30-05-2016,AGM,09-08-2016,20-07-2016,09-08-2016,Rs.0.2000 per share(10%)Dividend
7,26-05-2015,AGM,13-08-2015,24-07-2015,13-08-2015,-
8,29-01-2015,POM,04-03-2015,-,-,-
9,15-12-2014,POM,21-01-2015,-,-,-
10,29-05-2014,AGM,31-07-2014,11-07-2014,31-07-2014,Rs.2.0000 per share(100%)Dividend
11,27-05-2014,POM,30-06-2014,-,-,-
12,29-05-2013,AGM,21-08-2013,01-08-2013,21-08-2013,Rs.2.0000 per share(100%)Dividend
13,29-05-2012,AGM,10-08-2012,20-07-2012,10-08-2012,"Recommended a dividend of Rs. 4/- per Ordinary share (200%) and Rs. 4.10 per 'A' Ordinary share (205%), both of face value of Rs. 2/- each (post split) for FY 2011-12."
14,27-05-2011,AGM,12-08-2011,21-07-2011,12-08-2011,Rs.20.00 per share(200%)Dividend
15,27-05-2010,AGM,01-09-2010,12-08-2010,01-09-2010,Rs.15.00 per share(150%)Dividend
16,29-05-2009,AGM,25-08-2009,05-08-2009,25-08-2009,60% Dividend (Revised)
17,28-05-2008,AGM,24-07-2008,18-06-2008,26-06-2008,150% Dividend
18,18-05-2007,AGM,09-07-2007,05-06-2007,12-06-2007,150% Dividend
19,19-05-2006,AGM,11-07-2006,27-06-2006,11-07-2006,130% Dividend
20,17-05-2005,AGM,11-07-2005,27-06-2005,11-07-2005,125% Dividend
21,19-05-2004,AGM,08-07-2004,24-06-2004,08-07-2004,Final Dividend 40%
22,11-03-2004,EGM,08-04-2004,-,-,To consider the proposal for raising of additional long term resources upto US $ 500 million.
23,14-06-2003,AGM,21-07-2003,01-07-2003,21-07-2003,To voluntary delist the equity shares of the company excluding BSE and NSE
24,05-06-2002,AGM,26-07-2002,08-07-2002,26-07-2002,Nil Dividend
25,27-02-2002,EGM,27-03-2002,-,-,"EGM of the company will be held, to consider the proposal on financial restructuring and reduction of share capital."
26,10-05-2001,AGM,14-06-2001,12-06-2001,14-06-2001,Bookclsoure
27,30-05-2000,AGM,24-07-2000,29-06-2000,24-07-2000,Bookclsoure
28,13-05-1999,AGM,-,02-07-1999,30-07-1999,AGM & Dividend
29,02-06-1998,AGM,-,24-06-1998,23-07-1998,-
30,27-05-1997,AGM,-,10-06-1997,27-06-1997,-
