,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,25-04-2019,AGM,19-07-2019,06-07-2019,19-07-2019,-
1,16-05-2018,AGM,20-07-2018,07-07-2018,20-07-2018,-
2,17-05-2017,AGM,08-08-2017,22-07-2017,08-08-2017,-
3,28-11-2016,EGM,21-12-2016,-,-,-
4,26-05-2016,AGM,12-08-2016,30-07-2016,12-08-2016,Rs.8.0000 per share(80%)Dividend
5,20-05-2015,AGM,12-08-2015,25-07-2015,12-08-2015,Rs.8.0000 per share(80%)Dividend
6,03-07-2014,POM,01-08-2014,-,-,-
7,11-06-2014,EGM,16-05-2014,-,-,-
8,14-05-2014,AGM,14-08-2014,16-07-2014,22-07-2014,Rs.10.0000 per share(100%)Dividend
9,17-04-2014,COM,16-05-2014,-,-,-
10,23-05-2013,AGM,14-08-2013,17-07-2013,23-07-2013,Rs.8.0000 per share(80%)Dividend
11,18-05-2012,AGM,14-08-2012,18-07-2012,24-07-2012,Rs.12.00 per share(120%)Dividend
12,23-02-2012,POM,03-04-2012,-,-,"For increase in borrowing limits from Rs. 40,000 Crs to Rs. 50,000 Crs or the aggregate of the paid up Capital & free reserves of the Company, whichever is higher & for creation of charges on the movable & immovable properties of the Company."
13,26-05-2011,AGM,03-08-2011,06-07-2011,12-07-2011,A.G.M. & Rs.12.00 per share(120%)Dividend
14,27-05-2010,AGM,13-08-2010,14-07-2010,20-07-2010,Rs.8.00 per share(80%)Dividend
15,26-06-2009,AGM,27-08-2009,08-07-2009,14-07-2009,160% Dividend
16,26-06-2008,AGM,28-08-2008,22-07-2008,31-07-2008,160% Dividend
17,17-05-2007,AGM,29-08-2007,12-06-2007,22-06-2007,155% Dividend ( 130% for the year 2006-07 and special dividend of 25% on occasion of the Cenetenary year of the company.) AGM date revised.
18,15-05-2006,AGM,05-07-2006,30-05-2006,19-06-2006,130% Dividend
19,19-05-2005,AGM,27-07-2005,09-06-2005,29-06-2005,130% Dividend
20,20-01-2005,EGM,24-03-2005,-,-,To approve raising long term resources requirements of upto Rs.5000 crores for funding the company's growth projects and such other purposes.
21,07-05-2004,AGM,22-07-2004,10-06-2004,30-06-2004,100% Dividend
22,08-05-2003,AGM,01-07-2003,11-06-2003,01-07-2003,Bookclsoure
23,27-02-2003,EGM,19-03-2003,-,-,To utilise the balance standing in the Capital Redemption Reserve Account and the Securitites Premium Account for adjustment of Miscellaneous Expenditure.
24,30-05-2002,AGM,23-07-2002,03-07-2002,23-07-2002,Bookclsoure
25,08-05-2001,AGM,29-06-2001,08-06-2001,29-06-2001,Bookclsoure
26,25-05-2000,AGM,19-07-2000,30-06-2000,19-07-2000,Bookclsoure
27,20-05-1999,AGM,-,28-05-1999,18-06-1999,AGM & Dividend
28,28-05-1998,AGM,-,22-06-1998,12-07-1998,-
29,23-05-1997,AGM,-,31-05-1997,21-06-1997,Dividend Declared
