,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,04-11-2019,POM,08-12-2019,-,-,-
1,13-06-2019,AGM,11-07-2019,06-07-2019,10-07-2019,-
2,27-07-2018,AGM,24-08-2018,20-08-2018,23-08-2018,-
3,20-06-2017,AGM,14-07-2017,10-07-2017,13-07-2017,-
4,09-11-2016,POM,12-12-2016,-,-,-
5,12-08-2016,POM,09-09-2016,-,-,-
6,05-08-2016,COM,08-09-2016,-,-,-
7,03-06-2016,AGM,29-06-2016,-,-,-
8,13-05-2016,POM,15-06-2016,-,-,-
9,28-04-2016,AGM,29-06-2016,25-06-2016,28-06-2016,-
10,03-06-2015,POM,07-07-2015,-,-,-
11,05-05-2015,AGM,11-07-2015,08-07-2015,10-07-2015,Rs.2.3500 per share(235%)Final Dividend
12,20-02-2015,POM,30-03-2015,-,-,-
13,08-09-2014,POM,11-10-2014,-,-,-
14,29-04-2014,AGM,11-07-2014,08-07-2014,10-07-2014,Rs.1.7500 per share(175%)Final Dividend
15,23-12-2013,POM,21-01-2014,-,-,-
16,29-04-2013,AGM,27-06-2013,04-06-2013,06-06-2013,Rs.0.1000 per share(10%)Dividend
17,09-05-2012,COM,19-06-2012,-,-,-
18,25-04-2012,AGM,03-07-2012,12-06-2012,14-06-2012,Rs.2 per share(200%)Dividend
19,25-04-2011,AGM,21-07-2011,05-07-2011,07-07-2011,Rs.3.50 per share(350%)Dividend
20,22-09-2010,EGM,18-10-2010,-,-,"To increase the investment limits of the Co. to an amount not exceeding Rs. 16000,00,00,000/- & to borrow from time to time any sum or sums of moneys together with moneys already borrowed by the Co. that may exceed the aggregate of the paid-up capital."
21,20-04-2010,AGM,19-07-2010,06-07-2010,08-07-2010,325% Dividend
22,25-09-2009,EGM,20-10-2009,-,-,"For raising of fund upto Rs 6000 Crs in the form of FCCBs, QIPs to QIBs, ADR, GDR, NCDs, warrants or any other security as per the statutory regulations & to borrow amount not exceeding Rs. 6000 Crs in terms of Section 293 (1)(d) of the Co's Act, 1956."
23,12-06-2009,EGM,09-07-2009,-,-,"To allot 3,32,74,000 equity shares of Re 1/- each at a premium of Rs 160.46 per equity share to Promoters entity ""Twin Star Holdings Ltd"". Consequently, the paid up equity share capital of the Co. stands increased from Rs 78,72,40,400 to Rs 82,05,14,400."
24,20-04-2009,AGM,13-08-2009,04-08-2009,06-08-2009,225% Dividend (Revised)
25,29-04-2008,AGM,23-07-2008,15-07-2008,17-07-2008,300% Final Dividend
26,23-07-2007,AGM,29-09-2007,25-09-2007,26-09-2007,250% Final Dividend (Revised)
27,30-10-2006,AGM,22-12-2006,06-12-2006,08-12-2006,250% Final Dividend
28,22-03-2006,EGM,08-05-2006,-,-,"Approval of shareholders for the following: a. Amendments of Articles of Association of the Company. b. Change in location of Registrars and Share Transfer Agents, M/s Karvy Computershare Pvt Ltd from Bangalore to Hyderabad."
29,31-05-2005,AGM,27-07-2005,13-07-2005,15-07-2005,Dividend 200%
30,17-12-2004,EGM,25-01-2005,-,-,To approve increase in Authorised Share Capital of the company from Rs.200 million to Rs.500 million and issue of Bonus Shares.
31,08-09-2004,EGM,05-10-2004,-,-,"For the purpose of considering and, if thought fit, approving, with or without modification, the Scheme of Amalgamation whereunder Sesa Kembla Coke Company Ltd. is  proposed to be amalgamated with the Company."
32,20-05-2004,AGM,28-07-2004,01-07-2004,03-07-2004,80% Final Dividend
33,12-07-2003,AGM,20-09-2003,11-09-2003,13-09-2003,Dividend 25%
34,14-12-2002,EGM,15-01-2003,-,-,As per the directions of the High Court of Bombay at Panji for the scheme of amalgamation of A.Narrain Mines Ltd. with the company.
35,08-06-2000,AGM,18-08-2000,07-08-2000,18-08-2000,Bookclsoure
36,20-08-1999,AGM,-,14-09-1999,29-09-1999,AGM & Dividend
37,24-06-1998,AGM,-,17-08-1998,31-08-1998,-
