,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,20-06-2019,AGM,16-07-2019,-,-,-
1,03-06-2019,Others,-,-,-,Buy Back of Shares
2,02-05-2019,POM,03-06-2019,-,-,-
3,11-06-2018,AGM,19-07-2018,17-07-2018,19-07-2018,-
4,28-07-2017,POM,28-08-2017,-,-,(Revised)
5,27-06-2017,AGM,19-07-2017,17-07-2017,19-07-2017,-
6,04-05-2017,POM,05-06-2017,-,-,-
7,03-06-2016,AGM,18-07-2016,13-07-2016,14-07-2016,Rs.1.0000 per share(50%)Final Dividend
8,22-04-2016,Others,-,-,-,Buy Back of Shares
9,21-04-2015,AGM,22-07-2015,22-07-2015,22-07-2015,Rs.7.0000 per share(350%)Final Dividend
10,22-04-2014,AGM,23-07-2014,23-07-2014,23-07-2014,Rs.5.0000 per share(250%)Final Dividend (BC date has been revised from 07/07/2014 to 23/07/2014)
11,03-05-2013,POM,01-06-2013,-,-,-
12,22-04-2013,AGM,25-07-2013,01-07-2013,22-07-2013,Rs.5.0000 per share(250%)Final Dividend
13,18-12-2012,COM,28-12-2012,-,-,-
14,25-04-2012,AGM,23-07-2012,01-07-2012,23-07-2012,Rs.4.00 per share(200%)Final Dividend
15,27-04-2011,AGM,19-07-2011,01-07-2011,19-07-2011,Rs.4.00 per share(200%)Final Dividend
16,30-06-2010,AGM,22-07-2010,19-07-2010,22-07-2010,-
17,23-04-2010,AGM,22-07-2010,01-07-2010,22-07-2010,300% Final Dividend (Cancelled)
18,22-04-2009,AGM,21-07-2009,01-07-2009,21-07-2009,200% Final Dividend
19,21-04-2008,AGM,17-07-2008,01-07-2008,17-07-2008,200% Final Dividend
20,20-04-2007,AGM,18-07-2007,30-06-2007,18-07-2007,50% Final Dividend
21,19-04-2006,AGM,18-07-2006,01-07-2006,18-07-2006,250% Dividend
22,22-04-2005,AGM,21-07-2005,01-07-2005,11-07-2005,250% Final Dividend & To approve Bonus Issue.
23,16-04-2004,AGM,11-06-2004,11-05-2004,21-05-2004,The Board has also proposed a Final Dividend of Rs 4 per share and an one time dividend of Rs 25 per share (To approve Bonus Issue.)
24,17-04-2003,AGM,17-07-2003,03-07-2003,17-07-2003,50% Final Dividend
25,19-04-2002,AGM,18-07-2002,03-07-2002,18-07-2002,Dividend 50%
26,20-04-2001,AGM,19-07-2001,03-07-2001,19-07-2001,Bookclsoure
27,26-05-1998,AGM,-,-,-,-
28,19-05-1998,AGM,-,30-06-1998,02-07-1998,Dividend
