,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,22-04-2020,POM,24-05-2020,-,-,-
1,14-01-2020,EGM,07-02-2020,-,-,-
2,02-05-2019,AGM,-,06-06-2019,12-06-2019,-
3,26-04-2018,AGM,12-06-2018,06-06-2018,12-06-2018,-
4,09-08-2017,POM,09-09-2017,-,-,(Revised)
5,12-05-2017,AGM,06-06-2017,31-05-2017,06-06-2017,-
6,05-05-2016,AGM,07-06-2016,01-06-2016,07-06-2016,Rs.10.0000 per share(100%)Final Dividend
7,04-05-2016,POM,07-06-2016,-,-,-
8,08-05-2015,AGM,06-06-2015,25-05-2015,06-06-2015,Rs.9.0000 per share(90%)Final Dividend
9,16-12-2014,POM,19-01-2015,-,-,-
10,12-05-2014,AGM,14-06-2014,02-06-2014,14-06-2014,Rs.8.0000 per share(80%)Final Dividend
11,07-10-2013,POM,08-11-2013,-,-,-
12,03-05-2013,AGM,08-06-2013,27-05-2013,08-06-2013,Rs.6.0000 per share(60%)Final Dividend
13,13-06-2012,AGM,14-07-2012,09-07-2012,14-07-2012,Rs.4.00 per share(40%)Final Dividend
14,26-05-2011,AGM,28-06-2011,21-06-2011,28-06-2011,Rs.2.50 per share(25%)Final Dividend
15,31-05-2010,AGM,02-07-2010,28-06-2010,02-07-2010,Rs.1.50 per share(15%)Dividend
16,13-08-2009,AGM,03-09-2009,31-08-2009,03-09-2009,-
17,22-08-2008,AGM,18-09-2008,15-09-2008,18-09-2008,-
18,01-11-2007,EGM,04-12-2007,-,-,-
19,16-08-2007,AGM,29-08-2007,27-08-2007,29-08-2007,-
20,09-11-2006,EGM,20-11-2006,-,-,"To offer, issue and allot upto 1,00,00,000 fully paid up Equity Shares of a face value of Rs 10/- each of the Bank to Swiss Reinsurance Company at a price of Rs 120/- per share."
21,30-06-2006,AGM,24-07-2006,20-07-2006,24-07-2006,-
