,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,30-03-2020,POM,02-05-2020,-,-,-
1,15-05-2019,AGM,20-07-2019,15-07-2019,20-07-2019,(AGM date Revised)
2,01-06-2018,AGM,11-08-2018,06-08-2018,11-08-2018,-
3,06-06-2017,AGM,07-08-2017,01-08-2017,07-08-2017,-
4,14-07-2016,AGM,06-08-2016,-,-,-
5,17-07-2015,AGM,14-08-2015,08-08-2015,14-08-2015,Rs.3.6100 per share(361%)Dividend
6,11-08-2014,POM,24-09-2014,-,-,-
7,28-05-2014,AGM,06-08-2014,01-08-2014,06-08-2014,Rs.3.2300 per share(323%)Dividend
8,14-05-2013,AGM,14-08-2013,08-08-2013,14-08-2013,Rs.2.5200 per share(252%)Dividend
9,29-05-2012,AGM,14-08-2012,07-08-2012,14-08-2012,Rs.3.78 per share(189%)Dividend
10,17-05-2011,AGM,13-08-2011,04-08-2011,13-08-2011,Rs.2.60 per share(130%)Dividend
11,20-05-2010,AGM,29-07-2010,22-07-2010,29-07-2010,Rs.2.90 per share(145%)Dividend
12,02-06-2009,AGM,30-07-2009,23-07-2009,30-07-2009,40% Dividend
13,24-06-2008,AGM,14-08-2008,07-08-2008,14-08-2008,35% Dividend
14,22-06-2007,AGM,14-08-2007,02-08-2007,14-08-2007,35% Dividend
15,23-06-2006,AGM,14-08-2006,03-08-2006,14-08-2006,25% Dividend
16,01-07-2005,AGM,13-08-2005,11-08-2005,13-08-2005,20% Dividend
17,28-06-2004,AGM,11-08-2004,07-08-2004,11-08-2004,Dividend 15%
18,25-06-2002,AGM,14-08-2002,10-08-2002,14-08-2002,Dividend 35%
19,30-05-2001,AGM,25-07-2001,21-07-2001,25-07-2001,Bookclsoure
20,03-06-2000,AGM,09-08-2000,07-08-2000,09-08-2000,Bookclsoure
21,15-06-1999,AGM,-,19-07-1999,21-07-1999,AGM and Dividend
22,18-06-1998,AGM,-,27-07-1998,30-07-1998,-
23,14-08-1997,AGM,-,23-09-1997,25-09-1997,REVISED
