,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,02-05-2019,AGM,05-08-2019,27-07-2019,05-08-2019,-
1,28-11-2018,COM,03-01-2019,-,-,-
2,14-05-2018,AGM,07-08-2018,21-07-2018,07-08-2018,-
3,29-06-2017,AGM,10-08-2017,28-07-2017,10-08-2017,-
4,10-04-2017,POM,13-05-2017,-,-,-
5,01-03-2017,COM,27-03-2017,-,-,-
6,21-07-2016,AGM,10-08-2016,29-07-2016,10-08-2016,Rs.0.5000 per share(25%)Dividend
7,08-10-2015,POM,14-11-2015,-,-,-
8,05-06-2015,POM,14-07-2015,-,-,-
9,04-06-2015,AGM,06-08-2015,01-08-2015,06-08-2015,Rs.0.8000 per share(40%)Dividend
10,10-06-2014,AGM,08-08-2014,30-07-2014,08-08-2014,Rs.0.8000 per share(40%)Dividend
11,04-06-2013,AGM,06-08-2013,30-07-2013,06-08-2013,Rs.1.0000 per share(50%)Dividend
12,11-09-2012,POM,18-10-2012,-,-,-
13,04-06-2012,AGM,07-08-2012,31-07-2012,07-08-2012,Rs.5.00 per share(50%)Dividend
14,31-05-2011,AGM,04-08-2011,27-07-2011,04-08-2011,Rs.3.50 per share(35%)Dividend
15,08-06-2010,AGM,11-08-2010,03-08-2010,11-08-2010,Rs.2.50 per share(25%)Dividend
16,30-07-2009,AGM,28-08-2009,18-08-2009,28-08-2009,10% Dividend
17,01-07-2008,AGM,02-09-2008,12-08-2008,02-09-2008,35% Dividend (Revised)
18,25-05-2007,AGM,25-07-2007,05-07-2007,25-07-2007,50% Dividend
19,30-05-2006,AGM,27-07-2006,06-07-2006,27-07-2006,50% Dividend
20,09-06-2005,AGM,29-07-2005,08-07-2005,29-07-2005,40% Dividend
21,24-05-2004,AGM,23-07-2004,02-07-2004,23-07-2004,40% Dividend
22,03-06-2003,AGM,30-07-2003,09-07-2003,30-07-2003,30% Dividend
23,22-06-2002,AGM,13-08-2002,23-07-2002,13-08-2002,Dividend 20%
24,28-05-2001,AGM,23-07-2001,03-07-2001,23-07-2001,Dividend 20%
25,01-06-2000,AGM,08-08-2000,01-08-2000,08-08-2000,AGM & Nil Final Dividend
26,18-06-1998,AGM,-,14-07-1998,03-08-1998,-
27,18-06-1997,AGM,-,12-08-1997,04-09-1997,-
