,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,12-04-2019,AGM,22-06-2019,15-06-2019,15-06-2019,-
1,18-07-2018,POM,25-08-2018,-,-,-
2,13-04-2018,AGM,23-06-2018,16-06-2018,16-06-2018,-
3,04-01-2018,POM,24-02-2018,-,-,-
4,20-09-2017,POM,09-10-2017,-,-,-
5,13-04-2017,AGM,24-06-2017,03-06-2017,03-06-2017,-
6,27-02-2017,POM,05-04-2017,-,-,-
7,15-04-2016,AGM,18-06-2016,-,-,Rs.14.2500 per share(285%)Final Dividend
8,24-02-2016,POM,03-04-2016,-,-,-
9,30-04-2015,POM,06-06-2015,-,-,-
10,24-04-2015,AGM,22-06-2015,17-06-2015,17-06-2015,Rs.29.5000 per share(590%)Final Dividend (BC Date is Revised)
11,15-01-2015,POM,04-03-2015,-,-,-
12,17-10-2014,POM,24-11-2014,-,-,-
13,02-07-2014,EGM,30-07-2014,-,-,-
14,15-04-2014,AGM,14-06-2014,31-05-2014,14-06-2014,Rs.43.0000 per share(860%)Final Dividend
15,08-07-2013,EGM,03-08-2013,-,-,-
16,12-04-2013,AGM,15-06-2013,01-06-2013,15-06-2013,Rs.27.0000 per share(540%)Final Dividend
17,13-04-2012,AGM,09-06-2012,26-05-2012,09-06-2012,Rs. 22.00 per share (440%) Final Dividend & Rs.10.00 per sha
18,15-04-2011,AGM,11-06-2011,28-05-2011,11-06-2011,Rs.20.00 per share(400%)Final Dividend
19,13-04-2010,AGM,12-06-2010,29-05-2010,12-06-2010,300% Dividend
20,15-04-2009,AGM,20-06-2009,06-06-2009,20-06-2009,270% Dividend
21,15-04-2008,AGM,14-06-2008,31-05-2008,14-06-2008,545% Dividend (Final Dividend 145% + Special Dividend  400%)
22,13-04-2007,AGM,22-06-2007,08-06-2007,22-06-2007,130% Final Dividend
23,11-10-2006,EGM,07-11-2006,-,-,To seek approval for the Secondary American Depositary Share Offering and expects the Offering to be completed thereafter.
24,14-04-2006,AGM,10-06-2006,27-05-2006,10-06-2006,770% Dividend (Rs. 30/- for Silver Jublee Special Dividend and Rs 8.50/- for Final Dividend)
25,14-04-2005,AGM,11-06-2005,03-06-2005,11-06-2005,Final dividend of Rs. 6.50 per share (130% on an equity share par value Rs. 5/-).
26,22-11-2004,EGM,18-12-2004,-,-,To sponsor the issue of American Depository Shares
27,13-04-2004,AGM,12-06-2004,28-05-2004,01-06-2004,Final dividend of Rs. 15/- per share (300% on an equity share par value Rs. 5/-) & Special one-time dividend of Rs. 100/- per share (2000% on an equity share par value of Rs. 5/-) (Revised)
28,10-04-2003,AGM,14-06-2003,30-05-2003,14-06-2003,AGM & Dividend 290%
29,28-01-2003,EGM,22-02-2003,-,-,To consider and approve the resolutions in connection with the Company's sponsored American Depository Shares Offering.
30,10-04-2002,AGM,08-06-2002,24-05-2002,08-06-2002,Final Dividend 250%
31,11-04-2001,AGM,02-06-2001,16-05-2001,02-06-2001,-
32,10-04-2000,AGM,27-05-2000,16-05-2000,27-05-2000,-
33,20-04-1999,AGM,-,04-06-1999,12-06-1999,AGM & Dividend
34,10-04-1998,AGM,-,19-05-1998,30-05-1998,-
35,16-10-1997,AGM,-,-,-,-
36,16-04-1997,AGM,-,28-05-1997,07-06-1997,Revised from 23/5/97
