,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,27-05-2019,AGM,14-08-2019,11-08-2019,14-08-2019,-
1,18-09-2018,POM,20-10-2018,-,-,-
2,23-07-2018,AGM,13-08-2018,10-08-2018,13-08-2018,-
3,01-08-2017,AGM,21-08-2017,18-08-2017,21-08-2017,-
4,27-06-2017,POM,27-06-2017,-,-,-
5,20-04-2017,POM,19-05-2017,-,-,-
6,11-08-2016,AGM,31-08-2016,29-08-2016,31-08-2016,-
7,29-02-2016,POM,28-03-2016,-,-,-
8,08-07-2015,AGM,28-07-2015,25-07-2015,25-07-2015,Rs.3.0000 per share(300%)Dividend
9,23-06-2015,POM,15-07-2015,-,-,-
10,05-08-2014,AGM,25-08-2014,21-08-2014,25-08-2014,Rs.2.5000 per share(250%)Dividend
11,12-11-2013,POM,11-12-2013,-,-,-
12,17-05-2013,AGM,31-08-2013,23-08-2013,27-08-2013,Rs.2.0000 per share(200%)Dividend  (agm revised).<br>
13,12-02-2013,EGM,18-03-2013,-,-,-
14,10-08-2012,POM,10-09-2012,-,-,-
15,28-05-2012,AGM,10-09-2012,04-09-2012,04-09-2012,Rs.2.25 per share(225%)Dividend (Revised)
16,22-11-2011,EGM,05-12-2011,-,-,"To issue and allot on a preferential basis upto 9,689,802 Equity Shares of Re. 1/- to Sumitomo Wiring Systems Ltd., Japan (""SWS""), one of the promoters of the Co., in one or more tranches, at price to be determined by the Board at the time of issue."
17,02-11-2011,POM,26-11-2011,-,-,"Postal Ballot to pass the resolution to make loans, investments & give Guarantees by the co. in connection with the (jointly with Samvardhana Motherson Finance) acquisition of 80% of the shareholding of Peguform Group, Germany from Cross Industries AG."
18,25-05-2011,AGM,02-09-2011,28-08-2011,02-09-2011,Rs.2.75 per share(275%)Dividend
19,18-05-2010,AGM,26-08-2010,21-08-2010,26-08-2010,Rs.1.75 per share(175%)Dividend
20,30-06-2009,AGM,24-09-2009,18-09-2009,24-09-2009,135% Dividend
21,16-07-2008,AGM,11-08-2008,05-08-2008,11-08-2008,135% Dividend
22,28-05-2007,AGM,30-07-2007,25-07-2007,30-07-2007,150% Dividend
23,30-05-2006,AGM,07-08-2006,01-08-2006,07-08-2006,115% Dividend
24,27-05-2005,AGM,20-08-2005,16-08-2005,20-08-2005,Dividend @ 100% (Re. 1/- per share).
25,31-03-2005,EGM,10-05-2005,-,-,To seek shareholders approval for raising funds.
26,25-01-2005,EGM,10-02-2005,-,-,To approve: 1. Issue of Bonus shares Bu Captilising Share Premium account 2. To increase in authorised capital from 20 Crores to 30 Crores. 3. Alteration in MoA & AoA of the Company.
27,29-05-2004,AGM,18-09-2004,13-09-2004,16-09-2004,100% Dividend
28,28-01-2004,EGM,23-02-2004,-,-,1. Sub division of equity shares.
29,29-05-2003,AGM,17-09-2003,11-09-2003,17-09-2003,75% Dividend
30,13-06-2002,AGM,05-09-2002,02-09-2002,05-09-2002,Dividend 50%
31,20-06-2001,AGM,29-08-2001,22-08-2001,29-08-2001,Dividend 40%
32,14-07-2000,AGM,30-08-2000,25-08-2000,30-08-2000,-
33,01-06-1998,AGM,-,23-07-1998,28-07-1998,-
34,09-08-1997,AGM,-,16-09-1997,18-09-1997,-
