,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,05-05-2020,EGM,17-06-2020,-,-,-
1,20-05-2019,AGM,20-06-2019,-,-,-
2,06-11-2018,EGM,07-12-2018,-,-,-
3,28-05-2018,AGM,28-06-2018,19-06-2018,28-06-2018,-
4,21-05-2018,EGM,27-06-2018,-,-,-
5,14-02-2018,EGM,15-03-2018,-,-,-
6,16-06-2017,EGM,15-06-2017,-,-,-
7,11-05-2017,AGM,27-06-2017,30-05-2017,03-06-2017,-
8,29-11-2016,EGM,20-12-2016,-,-,-
9,16-05-2016,AGM,30-06-2016,07-06-2016,11-06-2016,Rs.2.6000 per share(260%)Dividend
10,21-01-2016,EGM,26-02-2016,-,-,-
11,28-08-2015,EGM,24-09-2015,-,-,-
12,26-05-2015,AGM,02-07-2015,30-05-2015,03-06-2015,Rs.3.5000 per share(350%)Dividend
13,29-01-2015,EGM,26-02-2015,-,-,-
14,19-05-2014,EGM,25-06-2014,-,-,-
15,14-05-2014,AGM,03-07-2014,31-05-2014,04-06-2014,Rs.15.0000 per share(150%)Dividend
16,14-05-2013,AGM,21-06-2013,30-05-2013,03-06-2013,Rs.41.5000 per share(415%)Dividend
17,15-02-2013,EGM,18-03-2013,-,-,-
18,21-12-2012,EGM,30-01-2013,-,-,(Cancelled)<br>
19,12-05-2012,AGM,22-06-2012,26-05-2012,31-05-2012,Dividend
20,10-02-2012,EGM,19-03-2012,-,-,For increase in issued Capital by the Bank by way of preferential allotment of Equity Shares to GoI aggregating to the extent of approximately Rs.7900 Crs (Including premium).
21,16-05-2011,EGM,24-06-2011,-,-,-
22,09-05-2011,AGM,20-06-2011,24-05-2011,28-05-2011,Rs.30.00 per share(300%)Dividend
23,11-05-2010,AGM,16-06-2010,11-06-2010,16-06-2010,Rs.20.00 per share(200%)Dividend
24,18-05-2009,AGM,19-06-2009,12-06-2009,19-06-2009,290% Dividend
25,01-12-2008,EGM,12-01-2009,-,-,"To elect one Director to the Central Board of the Bank under the provisions of Section 19(c) read with Section 25(2) of the State Bank of India Act, 1955."
26,20-05-2008,EGM,23-06-2008,-,-,To appointment of directors.
27,07-05-2008,AGM,11-06-2008,02-06-2008,11-06-2008,215% Dividend
28,09-05-2007,AGM,25-06-2007,15-06-2007,25-06-2007,140% Dividend
29,10-05-2006,AGM,30-06-2006,21-06-2006,30-06-2006,140% Dividend
30,09-08-2005,EGM,14-09-2005,-,-,-
31,11-05-2005,AGM,30-06-2005,21-06-2005,30-06-2005,125% Dividend
32,28-05-2004,AGM,09-07-2004,29-06-2004,09-07-2004,110% Dividend
33,05-06-2003,AGM,24-07-2003,08-07-2003,18-07-2003,Dividend 85%
34,24-06-1999,AGM,-,20-07-1999,04-08-1999,AGM & Dividend
35,18-06-1998,AGM,-,-,-,-
36,19-06-1997,AGM,-,15-07-1997,02-08-1997,-
