,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,21-10-2016,AGM,17-11-2016,10-11-2016,17-11-2016,-
1,09-03-2016,EGM,30-03-2016,-,-,-
2,17-08-2015,AGM,28-09-2015,11-11-2015,14-11-2015,-
3,13-03-2014,AGM,17-12-2014,17-11-2014,19-11-2014,AGM(Revised) From 24/04/2014 10/04/2014 to  19/11/2014
4,17-02-2014,AGM,14-03-2014,-,-,-
5,05-02-2014,EGM,05-02-2014,-,-,-
6,18-11-2013,AGM,24-12-2013,21-12-2013,24-12-2013,-
7,11-09-2012,AGM,25-09-2012,22-09-2012,25-09-2012,Rs.5.0000 per share(100%)Final Dividend
8,05-06-2012,EGM,20-06-2012,-,-,-
9,15-09-2011,AGM,29-09-2011,24-09-2011,29-09-2011,Rs.8.00 per share(80%)Final Dividend
10,02-09-2010,AGM,30-09-2010,23-09-2010,30-09-2010,-
11,22-06-2010,EGM,15-07-2010,-,-,"To issue & allot 4,56,049 numbers of Optionally Convertible Notes (at a Conv. price of Rs.991/- per OCN) for a total consideration of not exceeding CAD$ 10,249,262.40 which is Equivalent to INR.45,19,44,301 (approx) to the participating Note holders."
12,26-06-2009,AGM,23-09-2009,16-09-2009,23-09-2009,30% Dividend
13,16-05-2008,AGM,27-06-2008,20-06-2008,27-06-2008,30% Dividend
