,Meeting_Date,Remark
0,27-04-2020,Audited Results
1,06-02-2020,Quarterly Results
2,13-11-2019,Quarterly Results
3,07-08-2019,Quarterly Results
4,29-05-2019,Audited Results & Others
5,06-02-2019,Quarterly Results
6,31-10-2018,Quarterly Results
7,06-08-2018,Quarterly Results
8,03-05-2018,Audited Results & Others
9,17-01-2018,Quarterly Results
10,11-11-2017,Quarterly Results
11,10-08-2017,Quarterly Results
12,06-06-2017,Others
13,27-05-2017,Audited Results
14,20-01-2017,Quarterly Results
15,24-10-2016,Quarterly Results
16,09-08-2016,Quarterly Results
17,09-05-2016,Others
18,03-05-2016,Audited Results
19,06-04-2016,Others
20,12-02-2016,Quarterly Results
21,03-11-2015,Issue of Equity shares
22,10-08-2015,Quarterly Results & Others
23,11-05-2015,Audited Results
24,28-01-2015,Quarterly Results
25,10-11-2014,Quarterly Results
26,06-08-2014,Quarterly Results
27,15-05-2014,Audited Results
28,27-01-2014,Quarterly Results
29,28-12-2013,Spin Off & Demerger
30,25-10-2013,Quarterly Results
31,01-08-2013,Quarterly Results
32,06-05-2013,Audited Results
33,28-01-2013,Quarterly Results
34,19-10-2012,Quarterly Results
35,01-08-2012,Quarterly Results
36,14-05-2012,Audited Results
37,06-02-2012,Quarterly Results
38,11-11-2011,Quarterly Results
39,04-08-2011,Quarterly Results
40,07-07-2011,Others
41,09-05-2011,Audited Results
42,08-02-2011,Quarterly Results
43,25-10-2010,Quarterly Results
44,04-08-2010,Quarterly Results
45,30-04-2010,Audited Results
46,27-01-2010,Quarterly Results
47,29-10-2009,Quarterly Results
48,-,Quarterly Results
