,Meeting_Date,Remark
0,25-02-2020,Second Interim Dividend
1,22-01-2020,Quarterly Results
2,22-10-2019,Quarterly Results & Interim Dividend
3,24-07-2019,Quarterly Results
4,09-05-2019,Audited Results & Final Dividend
5,22-01-2019,Quarterly Results
6,22-10-2018,Quarterly Results & Interim Dividend
7,24-07-2018,Quarterly Results
8,10-05-2018,Audited Results & Final Dividend
9,22-01-2018,Quarterly Results
10,24-10-2017,Quarterly Results & Interim Dividend
11,25-07-2017,Quarterly Results
12,11-05-2017,Audited Results & Final Dividend
13,23-01-2017,Quarterly Results
14,25-10-2016,Quarterly Results & Interim Dividend
15,27-07-2016,Quarterly Results
16,11-05-2016,Audited Results & Final Dividend
17,14-03-2016,Others
18,18-01-2016,Quarterly Results
19,23-10-2015,Quarterly Results & Interim Dividend
20,21-07-2015,Quarterly Results
21,18-05-2015,Audited Results & Final Dividend
22,29-01-2015,Quarterly Results
23,22-10-2014,Quarterly Results
24,17-09-2014,Interim Dividend
25,22-07-2014,Quarterly Results
26,14-05-2014,Audited Results & Final Dividend
27,20-01-2014,Quarterly Results
28,21-10-2013,Quarterly Results & Interim Dividend
29,22-07-2013,Quarterly Results
30,09-05-2013,"Audited Results,Split & Final Dividend"
31,21-01-2013,Quarterly Results
32,25-10-2012,Quarterly Results & Interim Dividend
33,20-07-2012,Quarterly Results
34,08-05-2012,Audited Results & Final Dividend
35,29-03-2012,Appointment of Director's
36,17-02-2012,Scheme of Merger & Demerger
37,21-01-2012,Quarterly Results
38,21-10-2011,Quarterly Results & Interim Dividend
39,26-07-2011,Quarterly Results
40,10-05-2011,Audited Results & Final Dividend
41,24-01-2011,Quarterly Results
42,27-10-2010,Quarterly Results & Interim Dividend
43,27-07-2010,Quarterly Results
44,28-05-2010,Audited Results & Final Dividend
45,22-01-2010,Quarterly Results
46,22-10-2009,Quarterly Results & Interim Dividend
47,16-09-2009,Appointment of Additinal Director
48,25-07-2009,Quarterly Results
49,12-05-2009,Audited Results & Final Dividend
50,28-03-2009,Scheme of Amalgamation
51,05-03-2009,Others
52,23-01-2009,Quarterly Results
53,07-12-2008,To re-appoint Director's
54,24-10-2008,Quarterly Results & Interim Dividend
55,22-07-2008,Quarterly Results
56,09-05-2008,Audited Results & Final Dividend
57,29-01-2008,Quarterly Results
58,19-10-2007,Quarterly Results & Interim Dividend
59,30-07-2007,Quarterly Results
60,10-05-2007,Audited Results & Final Dividend
61,13-03-2007,Second Interim Dividend
62,29-01-2007,Quarterly Results
63,30-10-2006,"Qtr, Half Yearly Results & Int. Dividend"
64,28-07-2006,Quarterly Results
65,10-05-2006,Accounts & Final Dividend
66,31-01-2006,Quarterly Results
67,26-10-2005,Interim Dividend & Quarterly Results
68,29-07-2005,Quarterly Results
69,11-05-2005,Accounts & Dividend
70,30-03-2005,Change of name of the Company
71,19-01-2005,Quarterly Results
72,03-12-2004,Others
73,27-10-2004,Interim Dividend & Quarterly Results
74,28-07-2004,Quarterly Results
75,11-05-2004,Final Dividend & Accounts
76,28-01-2004,Quarterly Results
77,30-10-2003,Interim Dividend & Quarterly Results
78,23-07-2003,Quarterly Results
79,28-05-2003,"Accounts, Bonus issue & Final Dividend"
80,15-01-2003,Quarterly Results
81,16-10-2002,Quarterly Results & Interim Dividend
82,15-07-2002,Quarterly Results
83,29-05-2002,Accounts & Final Dividend
84,08-03-2002,Interim Dividend
85,23-01-2002,Quarterly Results
86,30-10-2001,Quarterly Results & Interim Dividend
87,23-07-2001,Quarterly Results
88,06-06-2001,Accounts & Dividend
89,31-01-2001,Quarterly Results
90,23-10-2000,Quarterly Results & Dividend
91,24-07-2000,Quarterly Results
92,30-05-2000,Accounts & Bonus issue
93,30-03-2000,2nd Interim Dividend
94,21-01-2000,Quarterly Results
95,29-10-1999,Quarterly Results & Interim Dividend
96,28-10-1999,Q.Results & I.Dividend
97,15-07-1999,Quarterly Results
98,31-05-1999,Accounts & Final Dividend
99,21-01-1999,Quarterly Results
100,28-10-1998,Interim Dividend
101,27-10-1998,Quarterly Results
102,29-07-1998,Quaterly Results
103,16-06-1998,Accounts & Dividend
104,21-10-1997,Half Yearly Results and Interim Dividend
105,16-06-1997,Accounts & dividend
