,Meeting_Date,Remark
0,31-01-2020,Quarterly Results
1,24-10-2019,Quarterly Results
2,02-08-2019,Quarterly Results
3,13-05-2019,Audited Results & Dividend
4,23-01-2019,Quarterly Results
5,26-10-2018,Quarterly Results
6,26-07-2018,Quarterly Results
7,16-05-2018,Audited Results & Dividend
8,19-01-2018,Quarterly Results
9,27-10-2017,Quarterly Results
10,26-05-2017,Audited Results & Dividend
11,27-01-2017,Quarterly Results
12,26-10-2016,Quarterly Results
13,21-07-2016,Quarterly Results
14,20-05-2016,"Audited Results, Bonus Issue & Dividend"
15,22-01-2016,Quarterly Results
16,30-10-2015,Quarterly Results
17,31-07-2015,Appointment of Director
18,30-07-2015,Quarterly Results
19,22-05-2015,Audited Results & Dividend
20,21-01-2015,Quarterly Results
21,31-10-2014,Quarterly Results
22,29-07-2014,Quarterly Results
23,23-05-2014,Audited Results & Dividend
24,17-01-2014,Quarterly Results
25,25-10-2013,Quarterly Results
26,28-08-2013,Others
27,25-07-2013,Quarterly Results
28,17-05-2013,Audited Results & Dividend
29,18-01-2013,Quarterly Results
30,19-10-2012,Quarterly Results
31,26-07-2012,Quarterly Results
32,25-05-2012,Audited Results & Dividend
33,20-01-2012,Quarterly Results
34,24-10-2011,Quarterly Results
35,28-07-2011,Quarterly Results
36,20-05-2011,Audited Results & Dividend
37,21-01-2011,Quarterly Results
38,29-10-2010,Quarterly Results
39,22-07-2010,Quarterly Results
40,18-06-2010,Increase in Authorised Capital & Bonus
41,21-05-2010,Audited Results & Dividend
42,19-03-2010,Appointment of Director's
43,22-01-2010,Quarterly Results
44,23-10-2009,Quarterly Results
45,23-07-2009,Quarterly Results
46,22-05-2009,Audited Results & Dividend
47,19-01-2009,Quarterly Results
48,24-10-2008,Quarterly Results
49,30-07-2008,Quarterly Results
50,23-05-2008,Audited Results & Dividend
51,18-01-2008,Quarterly Results
52,26-10-2007,Quarterly Results
53,27-07-2007,Quarterly Results
54,25-05-2007,Audited Results & Dividend
55,31-01-2007,Quarterly Results
56,30-10-2006,Quarterly Results & ESOP
57,21-07-2006,Quarterly Results
58,26-05-2006,Accounts & Dividend
59,20-01-2006,Quarterly Results
60,28-10-2005,Quarterly Results
61,29-07-2005,Quarterly Results
62,17-06-2005,Bonus Issue & Stock Split
63,27-05-2005,Accounts & Dividend
64,26-03-2005,Company Business Plans
65,21-01-2005,Quarterly Results
66,29-10-2004,Quarterly Results
67,25-08-2004,Amalgamation
68,30-07-2004,Quarterly Results
69,28-05-2004,Accounts & Dividend
70,30-01-2004,Quarterly Results
71,29-10-2003,Quarterly Results
72,25-07-2003,Quarterly Results
73,23-05-2003,Dividend & Accounts
74,17-01-2003,Quarterly Results
75,24-10-2002,Half Yearly Results & Quarterly Results
76,26-07-2002,Quarterly Results
77,22-05-2002,Dividend & Accounts
78,18-01-2002,Quarterly Results
79,19-10-2001,Quarterly Results & Half Yearly Results
80,21-09-2001,Amalgamation
81,20-07-2001,Quarterly Results
82,30-05-2001,Accounts & Dividend
83,17-01-2001,Quarterly Results
84,29-11-2000,Others
85,25-10-2000,Quarterly Results & Half Yearly Results & Others
86,24-05-2000,Accounts & Dividend
87,24-01-2000,Quarterly Results
88,22-10-1999,Quarterly Results
89,30-07-1999,Quarterly Results
90,25-05-1999,Accounts & Dividend
91,19-01-1999,Quarterly Results
92,30-10-1998,Quarterly Results
93,31-07-1998,Quarterly Results
94,22-05-1998,Accounts & Dividend
95,21-05-1998,Accounts
96,15-05-1998,Accounts
97,21-11-1997,Half Yearly Results
98,15-06-1997,Accounts & Dividend
99,14-06-1997,Accounts & Dividend
100,20-05-1997,Half Yearly Results.
