,Meeting_Date,Remark
0,09-04-2020,To consider raising of funds
1,18-03-2020,First Interim Dividend
2,22-01-2020,Quarterly Results
3,23-10-2019,Quarterly Results
4,23-07-2019,Quarterly Results
5,10-05-2019,Audited Results & Dividend
6,25-01-2019,Quarterly Results
7,31-10-2018,Quarterly & Half Yearly Results
8,23-08-2018,Buy Back of shares
9,25-07-2018,Quarterly Results
10,28-05-2018,Audited Results & Dividend
11,31-01-2018,Quarterly Results
12,11-11-2017,Quarterly Results
13,28-07-2017,Quarterly Results
14,29-05-2017,Audited Results & Dividend
15,07-04-2017,Others
16,28-01-2017,Quarterly Results
17,22-11-2016,Quarterly Results
18,07-11-2016,Scheme of Arrangement
19,29-07-2016,Quarterly Results
20,25-05-2016,Audited Results & Dividend
21,29-01-2016,Quarterly Results
22,30-10-2015,Quarterly Results
23,21-09-2015,Others
24,31-07-2015,Quarterly Results
25,30-05-2015,Audited Results & Dividend
26,09-02-2015,Quarterly Results
27,07-11-2014,Quarterly Results
28,28-07-2014,Quarterly Results
29,30-05-2014,Audited Results & Dividend
30,22-01-2014,Quarterly Results
31,18-10-2013,Quarterly Results
32,22-07-2013,Quarterly Results
33,22-05-2013,Audited Results & Dividend
34,24-01-2013,Quarterly Results
35,22-10-2012,Quarterly Results
36,23-07-2012,Quarterly Results
37,14-05-2012,Audited Results & Dividend
38,23-01-2012,Quarterly Results
39,21-10-2011,Quarterly Results
40,08-08-2011,Quarterly Results
41,19-05-2011,Audited Results & Dividend
42,17-01-2011,Quarterly Results
43,18-10-2010,Quarterly Results
44,27-07-2010,Quarterly Results
45,17-05-2010,Audited Results & Dividend
46,21-01-2010,Quarterly Results
47,22-10-2009,Quarterly Results
48,16-07-2009,Quarterly Results
49,28-05-2009,Audited Results & Dividend
50,30-01-2009,Quarterly Results
51,31-12-2008,To consider appointment of Director
52,15-10-2008,Quarterly Results
53,28-07-2008,Quarterly Results
54,29-05-2008,"Audited Results, Dividend & Bonus"
55,28-01-2008,Quarterly Results
56,26-10-2007,Quarterly Results
57,19-07-2007,Quarterly Results
58,03-07-2007,Special Dividend
59,29-05-2007,Audited Results & Dividend
60,13-03-2007,Interim Dividend
61,29-01-2007,Quarterly Results
62,19-10-2006,Quarterly Results
63,21-07-2006,Quarterly Results
64,07-06-2006,Bonus issue
65,25-05-2006,Accounts & Dividend
66,21-03-2006,Raising of long-term resources
67,19-01-2006,Quarterly Results
68,28-10-2005,Quarterly Results
69,28-07-2005,Quarterly Results
70,27-05-2005,Dividend & Accounts
71,24-01-2005,Quarterly Results
72,25-10-2004,Quarterly Results & Dividend
73,31-07-2004,Quarterly Results
74,04-06-2004,Dividend & Accounts
75,30-01-2004,Quarterly Results
76,31-10-2003,Quarterly Results
77,31-07-2003,Quarterly Results
78,30-06-2003,Others
79,29-05-2003,Dividend & Accounts
80,29-01-2003,Quarterly Results
81,29-10-2002,Quarterly Results
82,31-07-2002,Quarterly Results
83,14-06-2002,Accounts & Dividend
84,25-01-2002,Quarterly Results
85,24-10-2001,Quarterly Results
86,18-07-2001,Quarterly Results
87,29-05-2001,Accounts & Dividend
88,30-01-2001,Quarterly Results
89,30-10-2000,Quarterly Results
90,21-07-2000,Quarterly Results
91,20-05-2000,Accounts (Revised)
92,17-05-2000,Quarterly Results
93,28-03-2000,Interim Dividend
94,14-01-2000,Quarterly Results
95,29-10-1999,Quarterly Results
96,29-07-1999,Quarterly Results
97,28-05-1999,Accounts & Dividend
98,25-01-1999,Quarterly Results
99,28-10-1998,Quarterly Results
100,27-10-1998,Quarterly Results/Half Yearly Results
101,29-05-1998,Accounts & Dividend
102,10-11-1997,Half Yearly Results
103,29-05-1997,Accounts & Dividend.
104,-,Half Yearly Results
