,Meeting_Date,Remark
0,16-04-2020,Audited Results & Final Dividend
1,10-03-2020,Interim Dividend
2,17-01-2020,Quarterly Results & 3rd Interim Dividend
3,10-10-2019,Quarterly Results & Interim Dividend
4,09-07-2019,Quarterly Results & Interim Dividend
5,12-04-2019,Audited Results & Final Dividend
6,10-01-2019,Quarterly Results & 3rd Interim Dividend
7,11-10-2018,Quarterly Results & 2nd Interim Dividend
8,10-07-2018,Quarterly Results & Interim Dividend
9,15-06-2018,Buy Back of Shares
10,19-04-2018,"Audited Results, F. Dividend & Bonus"
11,11-01-2018,Quarterly Results & 3rd Interim Dividend
12,12-10-2017,Quarterly Results & Interim Dividend
13,13-07-2017,Quarterly Results & Interim Dividend
14,18-04-2017,Audited Results & Final Dividend
15,20-02-2017,Buy Back of Shares
16,12-01-2017,Quarterly Results & 3rd Interim Dividend
17,13-10-2016,Quarterly Results & 2nd Interim Dividend
18,14-07-2016,Quarterly Results & Interim Dividend
19,18-04-2016,Audited Results & Final Dividend
20,20-01-2016,Quarterly Results
21,12-01-2016,Quarterly Results & Interim Dividend
22,13-10-2015,Quarterly Results & Interim Dividend
23,09-07-2015,Quarterly Results & Interim Dividend
24,16-04-2015,Audited Results & Final Dividend
25,15-01-2015,Quarterly Results & Interim Dividend
26,16-10-2014,Quarterly Results & Interim Dividend
27,17-07-2014,Quarterly Results & Interim Dividend
28,16-04-2014,Audited Results & Dividend
29,16-01-2014,Quarterly Results & 3rd Interim Dividend
30,15-10-2013,Quarterly Results & 2nd Interim Dividend
31,18-07-2013,Quarterly Results & Interim Dividend
32,17-04-2013,Audited Results & Dividend
33,14-01-2013,Quarterly Results & 3rd Interim Dividend
34,19-10-2012,To consider the restructuring
35,12-07-2012,Quarterly Results & Interim Dividend
36,23-04-2012,Audited Results & Final Dividend
37,17-01-2012,Quarterly Results & 3rd Interim Dividend
38,17-10-2011,Quarterly Results & 2nd Interim Dividend
39,14-07-2011,Quarterly Results & Interim Dividend
40,21-04-2011,Audited Results & Final Dividend
41,17-01-2011,Quarterly Results & 3rd Interim Dividend
42,21-10-2010,Quarterly Results & 2nd Interim Dividend
43,15-07-2010,Quarterly Results & Interim Dividend
44,19-04-2010,"Audited Results, F. Dividend & Others"
45,15-01-2010,Quarterly Results & 3rd Interim Dividend
46,16-10-2009,Quarterly Results & Interim Dividend
47,17-07-2009,Quarterly Results & Interim Dividend
48,20-04-2009,"Aud. Results, F. Dividend & Bonus"
49,15-01-2009,Quarterly Results & 3rd Intrm. Dividend
50,22-10-2008,Quarterly Results & Interim Dividend
51,16-07-2008,Quarterly Results & Interim Dividend
52,21-04-2008,Audited Results & Final Dividend
53,16-01-2008,Qtr Results & 3rd Interim Dividend
54,15-10-2007,Quarterly Results & 2nd Interim Dividend
55,16-07-2007,Quarterly Results & Interim Dividend
56,16-04-2007,"Accounts, F.Dividend & Qtr Results"
57,15-01-2007,Quarterly Results & 3rd Int.Dividend
58,16-10-2006,"Qtr, Half Yearly Results & Int. Dividend"
59,18-07-2006,Quarterly Results & Interim Dividend
60,17-04-2006,Accounts & Final Dividend
61,12-01-2006,Quarterly Results & 3rd Interim Dividend
62,11-10-2005,Quarterly Results & Interim Dividend
63,12-08-2005,Interim Dividend
64,15-07-2005,Quarterly Results & Amalgamation
65,19-04-2005,Final Dividend & Accounts
66,20-01-2005,Second interim dividend.
67,13-01-2005,Quarterly Results
68,21-10-2004,Interim Dividend
69,12-10-2004,Quarterly Results
