,Meeting_Date,Remark
0,30-01-2020,Quarterly Results
1,25-10-2019,Quarterly Results & Others
2,25-07-2019,Quarterly Results
3,20-05-2019,Audited Results & Final Dividend
4,07-02-2019,Quarterly Results
5,31-10-2018,Quarterly Results
6,31-07-2018,Quarterly Results
7,23-05-2018,Audited Results
8,05-02-2018,Quarterly Results
9,09-11-2017,Quarterly Results
10,09-08-2017,Quarterly Results
11,23-05-2017,Audited Results
12,30-03-2017,Others
13,02-03-2017,Others
14,14-02-2017,Quarterly Results
15,14-11-2016,Quarterly Results
16,24-10-2016,Others
17,26-08-2016,Quarterly Results
18,30-05-2016,Audited Results & Dividend
19,11-02-2016,Quarterly Results
20,18-01-2016,Others
21,06-11-2015,Quarterly Results
22,07-08-2015,Quarterly Results
23,26-05-2015,Audited Results
24,25-03-2015,Right Issue of Equity Share
25,05-02-2015,Quarterly Results
26,14-11-2014,Quarterly Results
27,11-08-2014,Quarterly Results
28,29-05-2014,Audited Results & Dividend
29,10-02-2014,Quarterly Results
30,08-11-2013,Quarterly Results
31,07-08-2013,Quarterly Results
32,29-05-2013,Audited Results & Dividend
33,14-02-2013,Quarterly Results
34,07-11-2012,Quarterly Results
35,09-08-2012,Quarterly Results
36,29-05-2012,Audited Results & Dividend
37,14-02-2012,Quarterly Results
38,14-11-2011,Quarterly Results
39,11-08-2011,Quarterly Results
40,26-05-2011,"Audited Results, Dividend & Split"
41,11-02-2011,Quarterly Results
42,09-11-2010,Quarterly Results
43,10-08-2010,Quarterly Results
44,28-06-2010,Raising of long term capital funds
45,27-05-2010,Audited Results & Dividend
46,30-03-2010,Appointment of Managing Director
47,26-02-2010,Consolidated Quarterly Results
48,29-01-2010,Quarterly Results
49,27-11-2009,Consolidated Quarterly Results
50,26-10-2009,Quarterly Results
51,31-08-2009,Consolidated Quarterly Results
52,27-07-2009,Quarterly Results
53,26-06-2009,Consolidated Audited Results
54,29-05-2009,Audited Results & Dividend
55,30-01-2009,Quarterly Results
56,31-10-2008,Quarterly Results
57,30-07-2008,Quarterly Results
58,28-05-2008,Raising of long term capital funds
59,31-01-2008,Quarterly Results
60,31-10-2007,Quarterly Results
61,31-07-2007,Quarterly Results
62,18-05-2007,Audited Results & Dividend
63,23-01-2007,Quarterly Results
64,30-10-2006,Quarterly & Half Yearly Results
65,25-07-2006,Quarterly Results
66,19-05-2006,Accounts & Dividend
67,09-02-2006,Quarterly Results
68,25-10-2005,Quarterly Results
69,29-07-2005,Quarterly Results
70,07-06-2005,Change in auditors of the company
71,17-05-2005,Dividend & Accounts
72,31-01-2005,Quarterly Results
73,10-01-2005,Amalgamation
74,29-10-2004,Half Yearly Results
75,28-07-2004,Accounts
76,19-05-2004,Dividend & Accounts
77,08-03-2004,Others
78,22-01-2004,Quarterly Results & Interim Dividend
79,29-10-2003,Quarterly Results
80,21-07-2003,Quarterly Results
81,27-05-2003,"Accounts, Dividend & Others"
82,22-01-2003,Quarterly Results
83,30-10-2002,Quarterly Results & Half Yearly Results
84,25-07-2002,Quarterly Results
85,05-06-2002,Accounts
86,22-01-2002,Quarterly Results
87,31-10-2001,Half Yearly Results & Quarterly Results
88,24-07-2001,Quarterly Results
89,14-06-2001,Accounts & Dividend
90,08-02-2001,Rights
91,31-01-2001,Quarterly Results
92,20-10-2000,Half Yearly Results
93,29-05-2000,"Accounts, Dividend & ESOP"
94,28-03-2000,Interim Dividend
95,24-01-2000,Quarterly Results
96,26-10-1999,Quarterly Results
97,16-07-1999,Quarterly Results
98,12-05-1999,Accounts & Dividend
99,25-01-1999,Quarterly Results
100,27-10-1998,Quarterly Results
101,21-10-1997,Half Yearly Results
102,27-05-1997,Half Yearly Results
