,Meeting_Date,Remark
0,24-04-2020,Others
1,09-03-2020,Others
2,07-02-2020,Quarterly Results
3,06-11-2019,Quarterly Results
4,07-08-2019,Quarterly Results
5,25-04-2019,Audited Results & Dividend
6,26-02-2019,Others
7,08-02-2019,Quarterly Results
8,13-11-2018,Quarterly Results
9,13-08-2018,Quarterly Results & Others
10,16-05-2018,Audited Results & Dividend
11,03-04-2018,Others
12,09-02-2018,Quarterly Results
13,19-12-2017,To consider raising of funds
14,30-10-2017,Quarterly Results
15,07-08-2017,Quarterly Results
16,16-05-2017,Audited Results & Dividend
17,20-04-2017,To consider raising of funds
18,07-02-2017,Quarterly Results
19,11-11-2016,Quarterly Results
20,24-10-2016,Others
21,29-09-2016,Others
22,12-09-2016,Quarterly Results
23,25-05-2016,Audited Results & Dividend
24,04-02-2016,Quarterly Results
25,05-11-2015,Quarterly Results
26,11-08-2015,Quarterly Results
27,20-05-2015,Audited Results & Dividend
28,06-02-2015,Quarterly Results
29,12-11-2014,Quarterly Results
30,13-08-2014,Quarterly Results
31,14-05-2014,Audited Results & Dividend
32,11-02-2014,Quarterly Results
33,13-11-2013,Quarterly Results
34,13-08-2013,Quarterly Results
35,23-05-2013,Audited Results & Dividend
36,13-02-2013,Quarterly Results
37,09-11-2012,Quarterly Results
38,13-08-2012,Quarterly Results
39,18-05-2012,Audited Results & Dividend
40,09-02-2012,Quarterly Results & Others
41,14-12-2011,Resignation of Non-Executive Director
42,10-11-2011,Quarterly Results
43,12-08-2011,Quarterly Results
44,25-05-2011,Audited Results & Dividend
45,11-04-2011,Others
46,15-02-2011,Quarterly Results
47,12-11-2010,Quarterly Results
48,12-08-2010,Quarterly Results
49,26-05-2010,Audited Results & Dividend
50,16-02-2010,Consolidated Quarterly Results
51,28-01-2010,Quarterly Results & Others
52,26-11-2009,Consolidated Quarterly Results
53,27-10-2009,Quarterly Results
54,27-08-2009,Others
55,29-07-2009,Quarterly Results & Amalgamation
56,25-06-2009,"Audited Results, Dividend & Others"
57,27-02-2009,Consolidated Financial Results
58,28-01-2009,Quarterly Results
59,02-12-2008,Quarterly Results
60,28-11-2008,2nd Quarterly Results
61,24-10-2008,Quarterly Results
62,31-07-2008,Quarterly Results
63,26-06-2008,Audited Results & Dividend
64,31-01-2008,Quarterly Results
65,26-10-2007,Quarterly Results
66,30-07-2007,Quarterly Results
67,17-05-2007,Audited Results & Dividend
68,17-04-2007,Right Issue of Equity Shares
69,30-01-2007,Quarterly Results
70,30-10-2006,Quarterly & Half Yearly Results
71,20-10-2006,Acquisition
72,21-07-2006,Quarterly Results
73,18-05-2006,Accounts & Dividend
74,23-03-2006,Resignation of Directors
75,23-01-2006,Quarterly Results
76,26-10-2005,Quarterly Results
77,27-07-2005,Quarterly Results
78,19-05-2005,Dividend & Accounts
79,20-01-2005,Quarterly Results & Others
80,29-10-2004,Quarterly Results
81,22-07-2004,Quarterly Results
82,07-06-2004,Bonus issue
83,20-05-2004,Dividend & Accounts
84,22-01-2004,Quarterly Results
85,30-10-2003,Quarterly Results
86,23-07-2003,Quarterly Results
87,29-05-2003,Dividend & Accounts
88,23-01-2003,Quarterly Results
89,30-10-2002,"Quarterly Results, Half Yearly Results"
90,30-05-2002,Dividend
91,16-05-2002,Interim Dividend
92,04-03-2002,Interim Dividend
93,24-01-2002,Quarterly Results
94,30-10-2001,Quarterly Results
95,18-07-2001,Quarterly Results
96,01-06-2001,Accounts & Dividend
97,16-01-2001,Quarterly Results
98,18-10-2000,Quarterly Results
99,19-07-2000,Quarterly Results
100,17-05-2000,Accounts & Fin. Dividend
101,23-03-2000,Interim dividend
102,20-01-2000,Quarterly Results
103,21-10-1999,Quarterly Results
104,15-07-1999,Quarterly Results
105,21-01-1999,Quarterly Results
106,29-10-1998,Quarterly Results
107,28-05-1998,Accounts & Dividend
108,20-11-1997,Half Yearly Results
109,23-05-1997,Accounts & Dividend
