,Meeting_Date,Remark
0,18-05-2020,Voluntary delisting of the equity shares
1,27-02-2020,Interim Dividend
2,31-01-2020,Quarterly Results
3,14-11-2019,Quarterly Results
4,26-07-2019,Quarterly Results
5,07-05-2019,Audited Results
6,06-03-2019,Second Interim Dividend
7,31-01-2019,Quarterly Results
8,31-10-2018,Quarterly Results & Interim Dividend
9,31-07-2018,Quarterly Results
10,03-05-2018,Audited Results
11,13-03-2018,Interim Dividend
12,31-01-2018,Quarterly Results
13,02-11-2017,Quarterly Results
14,25-07-2017,Quarterly Results
15,15-05-2017,Audited Results
16,30-03-2017,Interim Dividend
17,22-03-2017,Others
18,14-02-2017,Quarterly Results
19,22-11-2016,Issue of Securities
20,28-10-2016,Quarterly Results & Interim Dividend
21,29-07-2016,Quarterly Results
22,22-07-2016,Spin Off
23,28-04-2016,Audited Results
24,28-01-2016,Quarterly Results
25,27-10-2015,Quarterly Results & Interim Dividend
26,29-07-2015,Quarterly Results
27,29-04-2015,Audited Results & Final Dividend
28,29-01-2015,Quarterly Results
29,29-10-2014,Quarterly Results & Interim Dividend
30,05-09-2014,Raising of funds
31,29-07-2014,Quarterly Results
32,29-04-2014,Audited Results & Final Dividend
33,28-01-2014,Quarterly Results
34,31-10-2013,Quarterly Results & Interim Dividend
35,29-07-2013,Quarterly Results
36,27-04-2013,Audited Results & Dividend
37,24-01-2013,Quarterly Results
38,26-10-2012,Quarterly Results
39,24-07-2012,Quarterly Results
40,24-04-2012,Audited Results & Final Dividend
41,25-02-2012,Others
42,25-01-2012,Quarterly Results & Interim Dividend
43,25-10-2011,Quarterly Results
44,21-07-2011,Quarterly Results
45,25-04-2011,Audited Results & Dividend
46,12-03-2011,Allotment of Shares
47,24-01-2011,Quarterly Results
48,18-10-2010,Quarterly Results
49,16-08-2010,Acquisition of strategic stake
50,19-07-2010,Quarterly Results & Others
51,19-04-2010,"Audited Results, Dividend & Others"
52,18-01-2010,Quarterly Results
53,20-10-2009,Quarterly Results
54,24-09-2009,To consider the raising of funds
55,29-07-2009,Quarterly Results
56,22-06-2009,Others
57,11-06-2009,Others
58,20-04-2009,Audited Results & Dividend
59,30-03-2009,Others
60,27-01-2009,Quarterly Results
61,22-10-2008,Quarterly Results
62,22-07-2008,Quarterly Results
63,28-04-2008,"Aud. Results, Dividend, Bonus & Split"
64,22-01-2008,Interim Dividend
65,30-10-2007,Quarterly Results
66,21-07-2007,"Audited Results, F. Dividend & Qtr Results"
67,28-04-2007,Quarterly Results
68,24-03-2007,Extension of validity of the SoA
69,10-02-2007,Interim Dividend
70,29-01-2007,Quarterly Results
71,27-10-2006,"Accounts, F. Dividend & Qtr. Results"
72,26-07-2006,Quarterly Results
73,29-04-2006,Quarterly Results
74,21-03-2006,Appointment of Managing Director
75,27-02-2006,Interim Dividend
76,23-01-2006,Quarterly Results
77,22-12-2005,Appointment of Director
78,29-10-2005,Quarterly Results
79,26-07-2005,Quarterly Results
80,31-05-2005,Accounts & Final Dividend
81,25-01-2005,Quarterly Results
82,17-12-2004,Interim Dividend
83,26-10-2004,Quarterly Results
84,27-07-2004,Quarterly Results
85,19-05-2004,Dividend & Accounts
86,29-01-2004,Quarterly Results
87,28-10-2003,Quarterly Results
88,28-07-2003,Quarterly Results
89,26-06-2003,Dividend & Accounts
90,29-01-2003,Quarterly Results
91,31-10-2002,Quarterly Results & Half Yearly Results
92,23-07-2002,Quarterly Results
93,22-05-2002,Accounts & Dividend
94,24-01-2002,Quarterly Results
95,23-10-2001,Quarterly Results & Half Yearly Results
96,31-07-2001,Quarterly Results
97,14-06-2001,Dividend & Accounts
98,24-01-2001,Quarterly Results
99,24-10-2000,Quarterly Results
100,07-06-2000,Quarterly Results
101,31-03-2000,Interim Dividend
102,27-01-2000,Quarterly Results
103,29-10-1999,Quarterly Results (Revised)
104,28-10-1999,Quarterly Results
105,27-07-1999,Quarterly Results
106,02-06-1999,Accounts & Dividend
107,22-01-1999,Quarterly Results
108,24-10-1998,Quarterly Results
109,30-07-1998,Revised
110,24-06-1998,Accounts
111,18-11-1997,Half Yearly Results
112,02-07-1997,Accounts & Dividend
113,-,Quarterly Results & Interim Dividend
