,Meeting_Date,Remark
0,15-04-2020,Audited Results & Final Dividend
1,14-01-2020,Quarterly Results & Interim Dividend
2,15-10-2019,Quarterly Results
3,17-07-2019,Quarterly Results
4,16-04-2019,Audited Results & Final Dividend
5,18-01-2019,"Quarterly Results, Int. Dividend & Bonus"
6,24-10-2018,Quarterly Results
7,20-07-2018,Quarterly Results
8,25-04-2018,Audited Results & Final Dividend
9,19-01-2018,Quarterly Results & Interim Dividend
10,17-10-2017,Quarterly Results
11,20-07-2017,Quarterly Results & Buy Back of Shares
12,25-04-2017,"Audited Results, F. Dividend & Bonus"
13,25-01-2017,Quarterly Results & Interim Dividend
14,21-10-2016,Quarterly Results
15,19-07-2016,Quarterly Results
16,20-04-2016,Audited Results & Buy Back of Shares
17,18-01-2016,Quarterly Results & Interim Dividend
18,21-10-2015,Quarterly Results
19,23-07-2015,Quarterly Results
20,03-06-2015,Appointment of Company Secretary
21,21-04-2015,Audited Results & Final Dividend
22,16-01-2015,Quarterly Results & Interim Dividend
23,22-10-2014,Quarterly Results
24,24-07-2014,Quarterly Results
25,17-04-2014,Audited Results & Final Dividend
26,17-01-2014,Quarterly Results & Interim Dividend
27,22-10-2013,Quarterly Results
28,26-07-2013,Quarterly Results
29,19-04-2013,Audited Results & Final Dividend
30,18-01-2013,Quarterly Results & Interim Dividend
31,02-11-2012,Quarterly Results
32,24-07-2012,Quarterly Results
33,25-04-2012,Audited Results & Final Dividend
34,20-01-2012,Quarterly Results & Interim Dividend
35,31-10-2011,Quarterly Results
36,20-07-2011,Quarterly Results
37,27-04-2011,Audited Results & Final Dividend
38,21-01-2011,Quarterly Results & Interim Dividend
39,22-10-2010,Quarterly Results
40,23-07-2010,Quarterly Results
41,31-05-2010,Audited Results
42,23-04-2010,Bonus Issue & Merger
43,20-01-2010,Quarterly Results
44,27-10-2009,Quarterly Results
45,22-07-2009,Quarterly Results
46,22-04-2009,Audited Results & Final Dividend
47,21-01-2009,Quarterly Results
48,22-10-2008,Quarterly Results
49,18-07-2008,Quarterly Results
50,18-04-2008,Audited Results & Final Dividend
51,18-01-2008,Quarterly Results
52,19-10-2007,Quarterly Results & Interim Dividend
53,19-07-2007,Quarterly Results
54,20-04-2007,"Audited Results, Dividend & Qtr Results"
55,23-03-2007,Interim Dividend
56,17-01-2007,Quarterly Results
57,18-10-2006,Quarterly Results
58,19-07-2006,Quarterly Results
59,19-04-2006,Accounts & Dividend
60,18-01-2006,Quarterly Results
61,19-10-2005,Quarterly Results
62,21-07-2005,Quarterly Results
63,22-04-2005,Dividend & Accounts
64,21-01-2005,Quarterly Results
65,15-10-2004,Quarterly Results
66,23-07-2004,Quarterly Results
67,16-04-2004,"Accounts, Dividend & Bonus Issue"
68,21-01-2004,Quarterly Results
69,17-10-2003,Quarterly Results
70,18-07-2003,Quarterly Results
71,17-04-2003,Dividend & Accounts
72,17-01-2003,Quarterly Results
73,18-10-2002,Quarterly Results
74,18-07-2002,Quarterly Results
75,19-04-2002,Dividend & Accounts
76,08-03-2002,Interim Dividend
77,18-01-2002,Quarterly Results
78,18-10-2001,Quarterly Results
79,20-07-2001,Quarterly Results
80,19-04-2001,Accounts & Dividend
81,18-01-2001,Quarterly Results
82,31-10-2000,Quarterly Results
83,27-07-2000,Quarterly Results
84,26-04-2000,Accounts & Dividend
85,24-04-2000,Accounts & Dividend (Revised)
86,21-01-2000,Quarterly Results
87,29-10-1999,Quarterly Results
88,29-07-1999,Quarterly Results
89,30-04-1999,"Accounts, Dividend"
90,28-01-1999,Quarterly Results
91,29-07-1998,Quarterly Results
92,25-05-1998,Accounts
93,27-11-1997,Half Yearly Results
94,01-08-1997,"Accounts,Dividend & Bonus Issue"
