,Meeting_Date,Remark
0,06-05-2020,Audited Results
1,26-03-2020,To consider raising of funds
2,14-03-2020,Quarterly Results
3,10-01-2020,Right Issue of Equity Shares
4,29-11-2019,To consider raising of funds
5,01-11-2019,Quarterly Results
6,30-08-2019,Others
7,17-07-2019,Quarterly Results
8,26-04-2019,"Audited Results, Final Dividend & Others"
9,24-01-2019,Quarterly Results
10,25-10-2018,Quarterly Results
11,26-07-2018,Quarterly Results
12,26-04-2018,"Audited Results, Dividend & Others"
13,18-01-2018,Quarterly Results
14,26-10-2017,Quarterly Results
15,26-07-2017,Quarterly Results & Stock Split
16,27-04-2017,Others
17,19-04-2017,Audited Results & Dividend
18,31-03-2017,Others
19,19-01-2017,Quarterly Results
20,20-10-2016,Quarterly Results & Others
21,27-07-2016,Quarterly Results
22,27-04-2016,Audited Results & Dividend
23,29-01-2016,Quarterly Results
24,29-10-2015,Quarterly Results
25,29-07-2015,Quarterly Results
26,22-04-2015,Audited Results & Dividend
27,14-01-2015,Quarterly Results
28,30-10-2014,Quarterly Results
29,23-07-2014,Quarterly Results
30,23-04-2014,Audited Results & Dividend
31,15-01-2014,Quarterly Results
32,22-10-2013,Quarterly Results
33,24-07-2013,Quarterly Results
34,17-04-2013,Audited Results & Dividend
35,16-01-2013,Quarterly Results
36,23-10-2012,Quarterly Results
37,25-07-2012,Quarterly Results
38,25-04-2012,Audited Results & Dividend
39,24-01-2012,Quarterly Results
40,20-10-2011,Quarterly Results
41,21-07-2011,Quarterly Results
42,20-04-2011,Audited Results & Dividend
43,20-01-2011,Quarterly Results
44,20-10-2010,Quarterly Results
45,21-07-2010,Quarterly Results
46,27-04-2010,Audited Results & Dividend
47,20-01-2010,Quarterly Results
48,21-10-2009,Quarterly Results
49,21-07-2009,Quarterly Results & Others
50,22-04-2009,"Audited, Qtr, Results & Dividend"
51,21-01-2009,Quarterly Results
52,22-10-2008,Quarterly Results
53,31-07-2008,Quarterly Results
54,09-04-2008,Audited Results & Quarterly Results
55,05-02-2008,To consider raising of funds
56,29-01-2008,Quarterly Results
57,17-10-2007,Quarterly Results
58,25-07-2007,Quarterly Results
59,24-04-2007,Audited Results
60,22-01-2007,Quarterly Results
61,30-10-2006,Quarterly Results
62,25-07-2006,Quarterly Results
63,28-04-2006,Quarterly Results
64,19-01-2006,Quarterly Results
65,10-10-2005,Increase of aggregate FII Limit
66,01-08-2005,Quarterly Results
