,Meeting_Date,Remark
0,17-01-2020,Quarterly Results & 3rd Interim Dividend
1,10-10-2019,Quarterly Results & Interim Dividend
2,09-07-2019,Quarterly Results & Interim Dividend
3,12-04-2019,Audited Results & Final Dividend
4,10-01-2019,Quarterly Results & 3rd Interim Dividend
5,11-10-2018,Quarterly Results & 2nd Interim Dividend
6,10-07-2018,Quarterly Results & Interim Dividend
7,15-06-2018,Buy Back of Shares
8,19-04-2018,"Audited Results, F. Dividend & Bonus"
9,11-01-2018,Quarterly Results & 3rd Interim Dividend
10,12-10-2017,Quarterly Results & Interim Dividend
11,13-07-2017,Quarterly Results & Interim Dividend
12,18-04-2017,Audited Results & Final Dividend
13,20-02-2017,Buy Back of Shares
14,12-01-2017,Quarterly Results & 3rd Interim Dividend
15,13-10-2016,Quarterly Results & 2nd Interim Dividend
16,14-07-2016,Quarterly Results & Interim Dividend
17,18-04-2016,Audited Results & Final Dividend
18,20-01-2016,Quarterly Results
19,12-01-2016,Quarterly Results & Interim Dividend
20,13-10-2015,Quarterly Results & Interim Dividend
21,09-07-2015,Quarterly Results & Interim Dividend
22,16-04-2015,Audited Results & Final Dividend
23,15-01-2015,Quarterly Results & Interim Dividend
24,16-10-2014,Quarterly Results & Interim Dividend
25,17-07-2014,Quarterly Results & Interim Dividend
26,16-04-2014,Audited Results & Dividend
27,16-01-2014,Quarterly Results & 3rd Interim Dividend
28,15-10-2013,Quarterly Results & 2nd Interim Dividend
29,18-07-2013,Quarterly Results & Interim Dividend
30,17-04-2013,Audited Results & Dividend
31,14-01-2013,Quarterly Results & 3rd Interim Dividend
32,19-10-2012,To consider the restructuring
33,12-07-2012,Quarterly Results & Interim Dividend
34,23-04-2012,Audited Results & Final Dividend
35,17-01-2012,Quarterly Results & 3rd Interim Dividend
36,17-10-2011,Quarterly Results & 2nd Interim Dividend
37,14-07-2011,Quarterly Results & Interim Dividend
38,21-04-2011,Audited Results & Final Dividend
39,17-01-2011,Quarterly Results & 3rd Interim Dividend
40,21-10-2010,Quarterly Results & 2nd Interim Dividend
41,15-07-2010,Quarterly Results & Interim Dividend
42,19-04-2010,"Audited Results, F. Dividend & Others"
43,15-01-2010,Quarterly Results & 3rd Interim Dividend
44,16-10-2009,Quarterly Results & Interim Dividend
45,17-07-2009,Quarterly Results & Interim Dividend
46,20-04-2009,"Aud. Results, F. Dividend & Bonus"
47,15-01-2009,Quarterly Results & 3rd Intrm. Dividend
48,22-10-2008,Quarterly Results & Interim Dividend
49,16-07-2008,Quarterly Results & Interim Dividend
50,21-04-2008,Audited Results & Final Dividend
51,16-01-2008,Qtr Results & 3rd Interim Dividend
52,15-10-2007,Quarterly Results & 2nd Interim Dividend
53,16-07-2007,Quarterly Results & Interim Dividend
54,16-04-2007,"Accounts, F.Dividend & Qtr Results"
55,15-01-2007,Quarterly Results & 3rd Int.Dividend
56,16-10-2006,"Qtr, Half Yearly Results & Int. Dividend"
57,18-07-2006,Quarterly Results & Interim Dividend
58,17-04-2006,Accounts & Final Dividend
59,12-01-2006,Quarterly Results & 3rd Interim Dividend
60,11-10-2005,Quarterly Results & Interim Dividend
61,12-08-2005,Interim Dividend
62,15-07-2005,Quarterly Results & Amalgamation
63,19-04-2005,Final Dividend & Accounts
64,20-01-2005,Second interim dividend.
65,13-01-2005,Quarterly Results
66,21-10-2004,Interim Dividend
67,12-10-2004,Quarterly Results
