,Meeting_Date,Remark
0,09-03-2020,Interim Dividend
1,01-02-2020,Quarterly Results
2,09-11-2019,Quarterly Results & Interim Dividend
3,20-07-2019,Quarterly Results
4,15-05-2019,Audited Results & Final Dividend
5,11-02-2019,Quarterly Results
6,09-11-2018,Quarterly Results & Interim Dividend
7,11-08-2018,Quarterly Results
8,18-05-2018,Audited Results & Dividend
9,10-02-2018,Quarterly Results
10,09-11-2017,Quarterly Results & Interim Dividend
11,07-08-2017,Quarterly Results
12,24-05-2017,Audited Results & Dividend
13,22-01-2017,Quarterly Results
14,05-11-2016,Quarterly Results
15,06-08-2016,Quarterly Results
16,24-05-2016,Audited Results
17,15-03-2016,Interim Dividend
18,02-02-2016,Quarterly Results
19,28-10-2015,Quarterly Results
20,14-08-2015,Quarterly Results
21,28-05-2015,Audited Results & Dividend
22,28-03-2015,Appointment of Director
23,27-01-2015,Quarterly Results
24,11-11-2014,Quarterly Results
25,06-08-2014,Quarterly Results
26,28-05-2014,Audited Results & Dividend
27,23-01-2014,Quarterly Results
28,14-11-2013,Quarterly Results
29,14-08-2013,Quarterly Results
30,13-05-2013,Audited Results & Dividend
31,28-01-2013,Quarterly Results
32,05-11-2012,Quarterly Results
33,14-08-2012,Quarterly Results
34,28-05-2012,"Audited Results, Dividend & Stock split"
35,13-02-2012,Quarterly Results
36,14-11-2011,Quarterly Results
37,13-08-2011,Quarterly Results
38,16-05-2011,Audited Results & Dividend
39,24-01-2011,Quarterly Results & Special Dividend
40,25-10-2010,Quarterly Results
41,29-07-2010,Quarterly Results
42,19-05-2010,Audited Results & Dividend
43,21-01-2010,Quarterly Results
44,28-10-2009,Quarterly Results
45,30-07-2009,Quarterly Results
46,01-06-2009,Audited Results & Dividend
47,27-01-2009,Quarterly Results
48,30-10-2008,Quarterly Results
49,14-08-2008,To consider appointment of Director
50,25-07-2008,Quarterly Results & Others
51,24-06-2008,Audited Results & Dividend
52,22-01-2008,Quarterly Results
53,23-10-2007,Quarterly Results
54,27-07-2007,Quarterly Results
55,22-06-2007,Audited Results & Dividend
56,30-01-2007,Quarterly Results
57,26-10-2006,Quarterly Results
58,27-07-2006,Quarterly Results
59,22-06-2006,Accounts & Dividend
60,07-04-2006,Expansion
61,25-01-2006,Quarterly Results
62,20-12-2005,To consider appointment of director
63,27-10-2005,Quarterly Results
64,26-07-2005,Quarterly Results
65,30-06-2005,Accounts
66,29-01-2005,Quarterly Results
67,26-10-2004,Quarterly Results
68,29-07-2004,Quarterly Results
69,24-06-2004,Accounts
70,28-01-2004,Quarterly Results
71,29-10-2003,Quarterly Results
72,31-07-2003,Quarterly Results
73,20-06-2003,Accounts & Dividend
74,30-01-2003,Quarterly Results
75,25-10-2002,Quarterly Results
76,25-06-2002,Accounts & Dividend
77,31-01-2002,Quarterly Results
78,22-10-2001,Half Yearly Results
79,22-05-2001,Accounts & Dividend
80,25-01-2001,Quarterly Results
81,25-10-2000,Quarterly Results & Preferential Offer
82,26-07-2000,Quarterly Results
83,19-05-2000,Accounts
84,31-03-2000,Dividend-Interim
85,06-01-2000,Quarterly Results
86,27-10-1999,Quarterly Results
87,21-07-1999,Quarterly Results
88,25-05-1999,Accounts
89,30-01-1999,Quarterly Results
90,22-10-1998,Quarterly Results
91,30-07-1998,Quaterly Results
92,25-11-1997,Half Yearly Results
93,26-09-1997,Preferential offer
94,20-06-1997,Accounts
