,Meeting_Date,Remark
0,10-02-2020,Quarterly Results
1,11-11-2019,Quarterly Results
2,05-08-2019,Quarterly Results
3,02-05-2019,Audited Results & Final Dividend
4,05-02-2019,Quarterly Results
5,13-11-2018,Quarterly Results
6,07-08-2018,Quarterly Results
7,14-05-2018,Audited Results & Dividend
8,08-02-2018,Quarterly Results
9,08-11-2017,Quarterly Results
10,10-08-2017,Quarterly Results
11,28-06-2017,Audited Results & Dividend
12,29-03-2017,Others
13,09-02-2017,Quarterly Results
14,08-11-2016,Quarterly Results
15,10-08-2016,Quarterly Results
16,27-05-2016,Audited Results & Dividend
17,31-03-2016,Reappointment of Managing Director
18,08-02-2016,Quarterly Results
19,03-11-2015,Quarterly Results
20,06-08-2015,Quarterly Results
21,25-05-2015,Audited Results & Dividend
22,04-02-2015,Quarterly Results
23,13-11-2014,Quarterly Results
24,07-08-2014,Quarterly Results
25,27-05-2014,Audited Results & Dividend
26,13-02-2014,Quarterly Results
27,14-11-2013,Quarterly Results
28,06-08-2013,Quarterly Results
29,28-05-2013,Audited Results & Dividend
30,07-02-2013,Quarterly Results
31,07-11-2012,Quarterly Results
32,07-08-2012,Quarterly Results & Stock Split
33,28-05-2012,Audited Results & Dividend
34,13-02-2012,Quarterly Results
35,09-11-2011,Quarterly Results
36,04-08-2011,Quarterly Results
37,24-05-2011,Audited Results & Dividend
38,10-02-2011,Quarterly Results
39,20-10-2010,Quarterly Results
40,20-07-2010,Quarterly Results
41,24-05-2010,Audited Results & Dividend
42,10-02-2010,To consider issue of Warrants
43,27-01-2010,Quarterly Results
44,28-10-2009,Quarterly Results
45,31-07-2009,Quarterly Results
46,30-06-2009,Audited Results & Dividend
47,30-01-2009,Quarterly Results
48,27-10-2008,Quarterly Results
49,29-07-2008,Quarterly Results
50,30-06-2008,Audited Results & Dividend
51,29-01-2008,Quarterly Results
52,31-10-2007,Quarterly Results
53,25-07-2007,Quarterly Results
54,24-05-2007,Audited Results & Dividend
55,24-01-2007,Quarterly Results
56,27-10-2006,Quarterly Results
57,27-07-2006,Quarterly Results
58,30-05-2006,Accounts & Dividend
59,30-01-2006,Quarterly Results
60,26-10-2005,Quarterly Results
61,29-07-2005,Quarterly Results
62,08-06-2005,Accounts & Dividend
63,31-01-2005,Quarterly Results
64,27-10-2004,Quarterly Results
65,23-07-2004,Quarterly Results
66,11-05-2004,Accounts & Dividend
67,28-01-2004,Quarterly Results
68,29-10-2003,Quarterly Results
69,24-09-2003,Buy Back of Shares
70,30-07-2003,Quarterly Results
71,11-06-2003,"Accounts, Dividend & General"
72,24-01-2003,Quarterly Results
73,29-10-2002,Quarterly Results
74,28-08-2002,Buy Back of Shares
75,31-07-2002,Quarterly Results
76,21-06-2002,Accounts & Dividend
77,04-03-2002,Interim Dividend
78,31-01-2002,Quarterly Results
79,31-10-2001,Half Yearly Results & Quarterly Results
80,23-07-2001,Quarterly Results
81,14-06-2001,Buy Back of Shares
82,28-05-2001,Accounts & Dividend
83,31-01-2001,Quarterly Results
84,31-10-2000,"H Y Results, Q Results & Amalgamation"
85,31-07-2000,Quarterly Results
86,31-05-2000,Accounts & Final Dividend
87,27-03-2000,Interim Dividend
88,24-01-2000,Quarterly Results
89,25-10-1999,Quarterly Results
90,23-07-1999,Quarterly Results
91,31-05-1999,Accounts & Dividend
92,25-01-1999,Quarterly Results
93,27-10-1998,Quarterly Results
94,31-07-1998,Quaterly Results
95,17-06-1998,Accounts & Dividend
96,24-11-1997,Half Yearly Results
97,16-06-1997,Accounts & Dividend
98,-,Quarterly Results
