,Meeting_Date,Remark
0,20-04-2020,Audited Results & Final Dividend
1,10-01-2020,Quarterly Results
2,11-10-2019,Quarterly Results & Interim Dividend
3,12-07-2019,Quarterly Results
4,12-04-2019,Audited Results & Final Dividend
5,11-01-2019,"Qtr Results, Sp. Dividend & Buy Back"
6,16-10-2018,"Quarterly, H.Y. Results & Int. Dividend"
7,13-07-2018,Quarterly Results
8,13-04-2018,"Audited Results, Fin & Special Dividend"
9,12-01-2018,Quarterly Results
10,19-08-2017,Buy Back of Shares
11,14-07-2017,Quarterly Results
12,13-04-2017,Audited Results & Final Dividend
13,23-02-2017,Others
14,13-01-2017,Quarterly Results
15,14-10-2016,Quarterly Results & Interim Dividend
16,15-07-2016,Quarterly Results
17,15-04-2016,Audited Results & Final Dividend
18,14-01-2016,Quarterly Results
19,12-10-2015,Quarterly Results & Interim Dividend
20,21-07-2015,Quarterly Results
21,22-06-2015,Others
22,05-06-2015,Others
23,24-04-2015,Audited Results & Final Dividend
24,09-01-2015,Quarterly Results
25,10-10-2014,Quarterly Results & Interim Dividend
26,11-07-2014,Quarterly Results
27,12-06-2014,Others
28,15-04-2014,Audited Results & Final Dividend
29,10-01-2014,Quarterly Results
30,11-10-2013,Quarterly Results & Interim Dividend
31,12-07-2013,Quarterly Results
32,12-04-2013,Audited Results & Final Dividend
33,11-01-2013,Quarterly Results
34,12-10-2012,Quarterly Results & Interim Dividend
35,12-07-2012,Quarterly Results
36,13-04-2012,Audited Results & Final Dividend
37,12-01-2012,Quarterly Results
38,12-10-2011,Quarterly Results & Interim Dividend
39,12-07-2011,Quarterly Results
40,30-04-2011,Others
41,15-04-2011,"Audited Results, Final Dividend & Others"
42,13-01-2011,Quarterly Results
43,15-10-2010,Quarterly Results & Interim Dividend
44,13-07-2010,Quarterly Results
45,13-04-2010,Audited Results & Final Dividend
46,12-01-2010,Quarterly Results
47,09-10-2009,Quarterly Results & Interim Dividend
48,10-07-2009,Quarterly Results
49,15-04-2009,"Audited, Qtrly Results & Final Dividend"
50,13-01-2009,Quarterly Results
51,10-10-2008,Quarterly Results & Intm. Dividend
52,25-08-2008,Scheme of Arrangement
53,11-07-2008,Quarterly Results
54,15-04-2008,Audited Results & Final Dividend
55,11-01-2008,Quarterly Results
56,11-10-2007,Quarterly Results & Interim Dividend
57,11-07-2007,Quarterly Results
58,13-04-2007,Accounts & Final Dividend
59,11-01-2007,Quarterly Results
60,11-10-2006,"Qtr, Half Yearly Results & I. Dividend"
61,12-07-2006,Quarterly Results
62,14-04-2006,"Accounts, Dividend, Bonus & Q.Results"
63,11-01-2006,Quarterly Results
64,11-10-2005,Interim Dividend & Quarterly Results
65,12-07-2005,Quarterly Results
66,14-04-2005,Accounts & Final Dividend
67,12-01-2005,Quarterly Results
68,08-11-2004,Others
69,12-10-2004,Interim Dividend & Quarterly Results
70,13-07-2004,Quarterly Results
71,13-04-2004,"Accounts, F. Dividend & Q.Results"
72,08-04-2004,Others
73,09-01-2004,Quarterly Results
74,10-10-2003,Quarterly Results & Interim Dividend
75,10-07-2003,Quarterly Results
76,10-04-2003,"Qtr, Half Yearly Results & Dividend"
77,10-01-2003,Quarterly Results
78,10-10-2002,Quarterly Results & Others
79,10-07-2002,Quarterly Results
80,10-04-2002,"Accounts, F. Dividend & Q.Results"
81,10-01-2002,Quarterly Results
82,10-10-2001,Quarterly & Half Yearly Results
83,10-07-2001,Quarterly Results
84,09-01-2001,Quarterly Results
85,10-10-2000,Quarterly Results & Interim Dividend
86,11-07-2000,Quarterly Results
87,11-04-2000,Accounts & Final dividend
88,11-01-2000,Quarterly Results
89,29-11-1999,Others
90,08-10-1999,Quarterly Results & Interim Dividend
91,07-10-1999,Quarterly Results
92,09-07-1999,Quarterly Results
93,09-04-1999,"Accounts, Final Dividend,Quarterly Resul"
94,08-04-1999,Accounts
95,12-01-1999,Quarterly Results
96,23-12-1998,Bonus issue
97,12-10-1998,Quarterly Results & Interim Dividend
98,11-10-1998,Quarterly Results
99,09-07-1998,Quaterly Results
100,08-07-1998,Quarterly Results
101,10-04-1998,Accounts & Final Dividend
102,06-01-1998,Quarterly Results
103,02-12-1997,Fresh issue of equity shares
104,06-10-1997,Half Yearly Results & I. Dividend
105,07-07-1997,Accounts
106,08-04-1997,"Accounts, Bonus Issue, Half YearlyResult"
