,Meeting_Date,Remark
0,24-01-2020,Quarterly Results & Others
1,23-10-2019,Quarterly Results
2,24-09-2019,Others
3,26-07-2019,Quarterly Results
4,24-05-2019,Audited Results & Dividend
5,06-02-2019,Quarterly Results
6,25-10-2018,Quarterly Results & Others
7,25-07-2018,Quarterly Results
8,16-05-2018,Audited Results & Dividend
9,31-01-2018,Quarterly Results
10,31-10-2017,Quarterly Results
11,03-10-2017,Others
12,01-08-2017,Quarterly Results
13,29-06-2017,Others
14,17-05-2017,Audited Results & Dividend
15,31-01-2017,Quarterly Results
16,27-10-2016,Quarterly Results & Stock Split
17,27-07-2016,Quarterly Results
18,18-05-2016,Audited Results & Dividend
19,29-01-2016,Quarterly Results
20,21-10-2015,Quarterly Results
21,29-07-2015,Quarterly Results
22,15-05-2015,Audited Results & Dividend
23,30-01-2015,Quarterly Results
24,21-10-2014,Quarterly Results
25,01-08-2014,Quarterly Results
26,27-05-2014,Audited Results & Dividend
27,28-01-2014,Quarterly Results
28,29-10-2013,Quarterly Results
29,31-07-2013,Quarterly Results
30,23-05-2013,Audited Results & Dividend
31,13-02-2013,Consolidated Quarterly Results
32,28-01-2013,Quarterly Results
33,28-10-2012,Quarterly Results
34,01-09-2012,Restructuring and Reorganization
35,26-07-2012,Quarterly Results
36,14-05-2012,Audited Results & Dividend
37,10-02-2012,Quarterly Results
38,20-01-2012,Quarterly Results
39,14-11-2011,Quarterly Results & Others
40,21-10-2011,Quarterly Results
41,26-07-2011,Quarterly Results
42,16-05-2011,Audited Results & Dividend
43,27-01-2011,Quarterly Results
44,26-10-2010,Quarterly Results
45,27-07-2010,Preferential Issue of Shares & Others
46,03-05-2010,"Audited Results, Dividend & Others"
47,20-01-2010,Quarterly Results & Others
48,23-10-2009,Quarterly Results
49,20-07-2009,Quarterly Results
50,28-05-2009,Issue of Equity Shares & Others
51,07-05-2009,"Audited Results, Dividend & Others"
52,28-01-2009,Quarterly Results & Others
53,24-10-2008,Quarterly Results
54,31-07-2008,Quarterly Results & Others
55,05-05-2008,Audited Results & Dividend
56,28-01-2008,Quarterly Results
57,25-10-2007,Quarterly Results & Amalgamation
58,24-07-2007,Quarterly Results
59,30-04-2007,Audited Results & Final Dividend
60,13-03-2007,Interim Dividend
61,22-01-2007,Quarterly Results
62,19-10-2006,Quarterly Results
63,25-07-2006,Quarterly Results & Others
64,19-04-2006,"Accounts, Dividend & Quarterly Results"
65,20-01-2006,Quarterly Results & Rights Issue
66,20-10-2005,Quarterly Results
67,22-07-2005,Quarterly Results
68,09-05-2005,Scheme of Amalgamation
69,18-04-2005,"Accounts, Final Dividend & Others"
70,10-02-2005,Interim Dividend & Others
71,31-01-2005,Unaudited Financial Results
72,26-10-2004,Quarterly Results
73,27-07-2004,Quarterly Results
74,29-06-2004,Accounts
75,20-01-2004,Quarterly Results
76,13-11-2003,Scheme of Arrangement
77,22-10-2003,Others
78,25-07-2003,Quarterly Results
79,09-07-2003,Preferential Issue of shares & Others
80,05-05-2003,AGM & Accounts
81,11-03-2003,Others
82,21-01-2003,Quarterly Results
83,29-10-2002,Quarterly Results
84,19-07-2002,Quarterly Results
85,30-05-2002,Accounts
86,18-01-2002,Quarterly Results
87,27-10-2001,Quarterly Results
88,21-07-2001,Quarterly Results
89,18-05-2001,Accounts
90,19-01-2001,Quarterly Results
91,27-11-2000,Others
92,30-10-2000,Quarterly Results & Others
93,19-07-2000,Quarterly Results
94,25-05-2000,Accounts
95,-,Quarterly Results & Amalgamation
