,Meeting_Date,Remark
0,10-02-2020,Quarterly Results & 2nd Interim Dividend
1,08-11-2019,Quarterly Results & Interim Dividend
2,09-08-2019,Quarterly Results
3,02-05-2019,Audited Results & Final Dividend
4,07-02-2019,Quarterly Results & 2nd Interim Dividend
5,08-11-2018,Quarterly Results & Interim Dividend
6,09-08-2018,Quarterly Results
7,03-05-2018,"Audited Results, F. Dividend & Others"
8,01-02-2018,Quarterly Results & 2nd Interim Dividend
9,10-11-2017,Quarterly Results & Interim Dividend
10,04-08-2017,Others
11,04-05-2017,Audited Results & Final Dividend
12,03-02-2017,Quarterly Results & Interim Dividend
13,27-10-2016,Quarterly Results & Interim Dividend
14,11-08-2016,Quarterly Results
15,03-05-2016,Audited Results & Final Dividend
16,25-01-2016,Quarterly Results
17,29-10-2015,Quarterly Results & Interim Dividend
18,27-07-2015,Quarterly Results & Interim Dividend
19,23-04-2015,Quarterly Results
20,12-02-2015,Quarterly Results
21,26-11-2014,Audited Results & Final Dividend
22,30-10-2014,Second Interim Dividend
23,23-07-2014,Quarterly Results & Interim Dividend
24,22-04-2014,Quarterly Results
25,06-02-2014,Quarterly Results
26,28-11-2013,Audited Results & Final Dividend
27,24-10-2013,Second Interim Dividend
28,25-07-2013,Quarterly Results & Interim Dividend
29,18-04-2013,Quarterly Results
30,07-02-2013,Quarterly Results
31,29-11-2012,Audited Results & Final Dividend
32,25-10-2012,Second Interim Dividend
33,25-07-2012,Quarterly Results & Interim Dividend
34,26-04-2012,Quarterly Results
35,09-02-2012,Quarterly Results
36,29-11-2011,Audited Results & Final Dividend
37,20-10-2011,2nd Interim Dividend
38,28-07-2011,Quarterly Results & Interim Dividend
39,14-04-2011,Quarterly Results
40,10-02-2011,Quarterly Results
41,25-11-2010,Audited Results & Final Dividend
42,21-10-2010,Second Interim Dividend
43,28-07-2010,Quarterly Results & Interim Dividend
44,29-04-2010,Quarterly Results
45,28-01-2010,Quarterly Results
46,21-12-2009,Audited Results & Final Dividend
47,27-10-2009,Interim Dividend
48,27-07-2009,Quarterly Results & Interim Dividend
49,13-04-2009,Quarterly Results
50,23-01-2009,Quarterly Results
51,19-12-2008,Audited Results & Final Dividend
52,21-10-2008,Interim Dividend
53,24-07-2008,Quarterly Results & Interim Dividend
54,25-04-2008,Quarterly Results
55,31-01-2008,Quarterly Results
56,14-12-2007,Audited Results & Final Dividend
57,25-10-2007,Interim Dividend
58,26-07-2007,Quarterly Results & Interim Dividend
59,19-04-2007,Quarterly Results
60,25-01-2007,Quarterly Results
61,20-07-2006,Quarterly Results & Interim Dividend
62,24-04-2006,Quarterly Results
63,27-01-2006,Quarterly Results
64,20-12-2005,Final Dividend & Accounts
65,25-10-2005,Second Interim Dividend
66,02-08-2005,Quarterly Results & Dividend
67,21-07-2005,Quarterly Results & Interim Dividend
68,29-04-2005,Quarterly Results
69,25-01-2005,Quarterly Results
70,23-12-2004,Accounts & Final Dividend
71,15-10-2004,Second Interim Dividend
72,28-04-2004,Quarterly Results
73,28-01-2004,Quarterly Results
74,19-12-2003,Accounts & Dividend
75,29-07-2003,Interim Dividend & Quarterly Results
76,17-04-2003,Quarterly Results & Interim Dividend
77,29-01-2003,Quarterly Results
78,20-12-2002,Dividend & Accounts
79,30-10-2002,2nd Interim Dividend
80,30-04-2002,Quarterly Results
81,08-03-2002,Interim Dividend
82,30-01-2002,Quarterly Results
83,21-12-2001,Accounts and Final Dividend
84,15-10-2001,Interim Dividend
85,31-07-2001,Interim Dividend & Quarterly Results
86,30-04-2001,Quarterly Results
87,31-01-2001,Quarterly Results
88,22-12-2000,Dividend & Accounts
89,02-11-2000,Dividend
90,19-04-2000,Quarterly Results
91,27-01-2000,Accounts & Final Dividend
92,28-10-1999,Quarterly Results & Interim Dividend
93,28-07-1999,Quarterly Results & Dividend Interim
94,28-04-1999,Quarterly Results
95,28-01-1999,Accounts & Final Dividend & Quarterly Re
96,26-10-1998,Quarterly Results
97,30-07-1998,Quaterly Results and 2nd Interim Divd.
98,28-04-1998,Half Yearly Results.
99,28-01-1998,Final Dividend
100,10-11-1997,2nd Interim Dividend
101,03-07-1997,Interim Dividend
102,02-05-1997,Half Yearly Results.
103,27-01-1997,Accounts & Final Dividend
