,Meeting_Date,Remark
0,16-04-2020,Others
1,28-02-2020,Interim Dividend
2,10-02-2020,Quarterly Results
3,11-11-2019,Quarterly Results
4,12-08-2019,Quarterly Results
5,27-05-2019,Audited Results & Final Dividend
6,11-02-2019,Quarterly Results
7,14-11-2018,Quarterly Results
8,07-09-2018,Bonus issue
9,07-08-2018,Quarterly Results
10,23-05-2018,Audited Results & Dividend
11,02-04-2018,Others
12,13-02-2018,Quarterly Results
13,10-11-2017,Quarterly Results
14,10-08-2017,Quarterly Results
15,19-05-2017,"Audited Results, Dividend & Bonus"
16,13-02-2017,Quarterly Results
17,19-01-2017,Others
18,10-11-2016,Quarterly Results
19,13-09-2016,Others
20,12-09-2016,Allotment of Equity Shares
21,10-08-2016,Quarterly Results
22,03-08-2016,Others
23,17-05-2016,Audited Results
24,16-03-2016,Interim Dividend
25,09-02-2016,Quarterly Results
26,06-11-2015,Quarterly Results
27,06-08-2015,Quarterly Results
28,28-07-2015,Resignation of Independent Director
29,10-06-2015,Bonus Issue
30,12-05-2015,Audited Results & Dividend
31,10-02-2015,Quarterly Results
32,10-11-2014,Quarterly Results
33,12-08-2014,Quarterly Results
34,22-05-2014,Audited Results & Dividend
35,31-01-2014,Quarterly Results
36,01-11-2013,Quarterly Results & Bonus issue
37,31-07-2013,Quarterly Results
38,17-05-2013,Audited Results & Dividend
39,12-02-2013,Quarterly Results
40,06-11-2012,Quarterly Results
41,09-08-2012,Quarterly Results
42,28-05-2012,Audited Results & Dividend
43,13-02-2012,Quarterly Results
44,05-11-2011,Quarterly Results
45,29-07-2011,Quarterly Results
46,13-07-2011,To consider an overseas acquisition
47,25-05-2011,Audited Results & Dividend
48,28-04-2011,To consider the Merger
49,03-02-2011,Quarterly Results
50,29-10-2010,Quarterly Results
51,10-08-2010,Quarterly Results
52,26-07-2010,To draft the Scheme of Merger
53,18-05-2010,"Audited Results, Dividend & Others"
54,31-03-2010,Allotment of Equity Shares
55,30-01-2010,Allotment of Equity Shares
56,28-01-2010,Quarterly Results & Others
57,16-01-2010,Allotment of Equity Shares
58,11-01-2010,Allotment of Equity Shares
59,07-01-2010,Allotment of Equity Shares
60,26-10-2009,Quarterly Results
61,27-07-2009,Quarterly Results
62,29-06-2009,"Audited Results, Dividend & Others"
63,30-04-2009,Appointment of Director's
64,27-01-2009,Quarterly Results
65,21-10-2008,Quarterly Results
66,26-07-2008,Quarterly Results
67,02-06-2008,Audited Results & Dividend
68,28-01-2008,Quarterly Results
69,25-10-2007,Quarterly Results
70,30-07-2007,Quarterly Results
71,26-05-2007,Bonus Issue
72,30-01-2007,Quarterly Results
73,06-11-2006,Half Yearly Results
74,27-07-2006,Quarterly Results
75,26-05-2006,Accounts & Dividend
76,28-01-2006,Quarterly Results
77,13-12-2005,Setting up of new subsidiary/Merger
78,31-10-2005,Half Yearly Results
79,23-07-2005,Quarterly Results
80,27-05-2005,Dividend & Accounts
81,31-03-2005,Raising of funds
82,27-01-2005,Quarterly Results
83,07-01-2005,Bonus issue
84,28-10-2004,Half Yearly Results
85,22-07-2004,Quarterly Results
86,28-05-2004,Dividend & Accounts
87,23-04-2004,Others
88,16-01-2004,Stock Split
89,11-11-2003,Quarterly Results
90,24-07-2003,Quarterly Results
91,29-05-2003,Dividend & Accounts
92,17-01-2003,Quarterly Results
93,23-11-2002,Half Yearly Results
94,22-07-2002,Quarterly Results & Others
95,12-06-2002,Accounts & Dividend
96,09-03-2002,Interim Dividend
97,31-01-2002,Quarterly Results
98,30-11-2001,Half Yearly Results
99,18-07-2001,Quarterly Results
100,09-07-2001,Others
101,20-06-2001,"Accounts, Dividend & Others"
102,29-01-2001,Quarterly Results
103,23-10-2000,Quarterly Results
104,29-06-2000,Merger
105,27-05-2000,Accounts
106,24-04-2000,Merger of Motherson Auto
107,28-03-2000,Interim Dividend
108,17-01-2000,Quarterly Results
109,25-10-1999,Half Yearly Results
110,30-07-1999,Quarterly Results
111,29-05-1999,Accounts & Dividend
112,25-01-1999,Quarterly Results
113,22-10-1998,Half Yearly Results
114,28-07-1998,Quaterly Results
115,29-05-1998,Accounts & Dividend
116,10-11-1997,Half Yearly Results.
117,08-08-1997,"Accounts, Dividend and Bonus"
118,28-05-1997,Half Yearly Results.
