,Meeting_Date,Remark
0,27-03-2020,Others
1,31-01-2020,Quarterly Results
2,25-10-2019,Quarterly Results
3,02-08-2019,Quarterly Results
4,29-05-2019,Others
5,10-05-2019,Audited Results & Dividend
6,22-03-2019,Others
7,01-02-2019,Quarterly Results
8,31-01-2019,Others
9,05-11-2018,Quarterly Results
10,22-10-2018,To consider raising of equity capital
11,10-08-2018,Quarterly Results
12,22-05-2018,Audited Results & Dividend
13,13-04-2018,Others
14,09-02-2018,Quarterly Results & Preferential issue
15,08-01-2018,Others
16,27-12-2017,Others
17,10-11-2017,Quarterly Results
18,01-11-2017,Others
19,11-08-2017,Quarterly Results
20,19-05-2017,Audited Results & Dividend
21,24-03-2017,Others
22,15-03-2017,Others
23,10-02-2017,Quarterly Results
24,11-11-2016,Quarterly Results
25,29-10-2016,Preferential Issue of shares
26,12-08-2016,Quarterly Results
27,29-06-2016,Others
28,27-05-2016,Audited Results & Dividend
29,11-02-2016,Quarterly Results
30,21-12-2015,Others
31,06-11-2015,Quarterly Results
32,11-08-2015,Quarterly Results
33,22-05-2015,Audited Results & Dividend
34,13-02-2015,Quarterly Results
35,14-11-2014,Quarterly Results
36,24-09-2014,Stock Split
37,08-08-2014,Quarterly Results
38,23-05-2014,Audited Results & Dividend
39,03-03-2014,Interim Dividend
40,14-02-2014,Quarterly Results
41,13-11-2013,Quarterly Results
42,30-10-2013,Preferential Issue of shares
43,12-08-2013,Quarterly Results
44,23-05-2013,Audited Results & Dividend
45,14-02-2013,Quarterly Results
46,09-11-2012,Quarterly Results
47,10-08-2012,Quarterly Results
48,18-05-2012,Audited Results & Dividend
49,13-02-2012,Quarterly Results
50,09-11-2011,Quarterly Results
51,13-08-2011,Quarterly Results
52,17-05-2011,Audited Results & Dividend
53,22-01-2011,Quarterly Results
54,08-11-2010,Quarterly Results
55,12-08-2010,Quarterly Results
56,14-05-2010,Audited Results & Dividend
57,25-01-2010,Quarterly Results & Interim Dividend
58,31-10-2009,Quarterly Results
59,30-07-2009,Quarterly Results
60,19-06-2009,Acquisition
61,09-05-2009,Audited Results & Dividend
62,24-01-2009,Quarterly Results
63,27-10-2008,Quarterly Results
64,26-07-2008,Quarterly Results
65,02-05-2008,Audited Results
66,24-01-2008,Quarterly Results
67,14-01-2008,Increase in the Issued Capital
68,27-10-2007,Quarterly Results
69,28-07-2007,Quarterly Results
70,12-05-2007,Audited Results
71,23-01-2007,Quarterly Results
72,28-10-2006,Quarterly Results
73,27-07-2006,Quarterly Results
74,19-05-2006,Accounts & Dividend
75,28-01-2006,Quarterly Results
76,27-10-2005,Quarterly Results
77,28-07-2005,Quarterly Results
78,20-05-2005,Accounts
79,28-01-2005,Quarterly Results
80,30-10-2004,Quarterly Results
81,27-07-2004,Quarterly Results
82,28-05-2004,Accounts
83,30-01-2004,Quarterly Results
84,30-10-2003,Quarterly Results
85,24-07-2003,Quarterly Results
86,19-06-2003,Accounts
87,29-01-2003,Quarterly Results
88,30-10-2002,Quarterly Results
89,28-10-2002,Half Yearly Results
90,30-07-2002,Quarterly Results
91,20-06-2002,Dividend
92,30-01-2002,Quarterly Results
93,30-10-2001,Quarterly Results
94,21-06-2001,Accounts
95,30-01-2001,Quarterly Results
96,30-10-2000,Quarterly Results
97,27-07-2000,Quarterly Results
98,22-06-2000,Accounts
99,30-03-2000,Interim Dividend
100,27-01-2000,Quarterly Results
101,28-10-1999,Quarterly Results
102,29-07-1999,Quarterly Results
103,24-06-1999,Accounts
104,28-01-1999,Quarterly Results
105,26-10-1998,Quarterly Results
106,18-06-1998,Accounts
107,21-11-1997,Half Yearly Results
108,19-06-1997,Accounts
109,-,To consider raising of equity capital
