,Meeting_Date,Remark
0,26-03-2020,To consider raising of funds
1,14-03-2020,Quarterly Results
2,10-01-2020,Right Issue of Equity Shares
3,29-11-2019,To consider raising of funds
4,01-11-2019,Quarterly Results
5,30-08-2019,Others
6,17-07-2019,Quarterly Results
7,26-04-2019,"Audited Results, Final Dividend & Others"
8,24-01-2019,Quarterly Results
9,25-10-2018,Quarterly Results
10,26-07-2018,Quarterly Results
11,26-04-2018,"Audited Results, Dividend & Others"
12,18-01-2018,Quarterly Results
13,26-10-2017,Quarterly Results
14,26-07-2017,Quarterly Results & Stock Split
15,27-04-2017,Others
16,19-04-2017,Audited Results & Dividend
17,31-03-2017,Others
18,19-01-2017,Quarterly Results
19,20-10-2016,Quarterly Results & Others
20,27-07-2016,Quarterly Results
21,27-04-2016,Audited Results & Dividend
22,29-01-2016,Quarterly Results
23,29-10-2015,Quarterly Results
24,29-07-2015,Quarterly Results
25,22-04-2015,Audited Results & Dividend
26,14-01-2015,Quarterly Results
27,30-10-2014,Quarterly Results
28,23-07-2014,Quarterly Results
29,23-04-2014,Audited Results & Dividend
30,15-01-2014,Quarterly Results
31,22-10-2013,Quarterly Results
32,24-07-2013,Quarterly Results
33,17-04-2013,Audited Results & Dividend
34,16-01-2013,Quarterly Results
35,23-10-2012,Quarterly Results
36,25-07-2012,Quarterly Results
37,25-04-2012,Audited Results & Dividend
38,24-01-2012,Quarterly Results
39,20-10-2011,Quarterly Results
40,21-07-2011,Quarterly Results
41,20-04-2011,Audited Results & Dividend
42,20-01-2011,Quarterly Results
43,20-10-2010,Quarterly Results
44,21-07-2010,Quarterly Results
45,27-04-2010,Audited Results & Dividend
46,20-01-2010,Quarterly Results
47,21-10-2009,Quarterly Results
48,21-07-2009,Quarterly Results & Others
49,22-04-2009,"Audited, Qtr, Results & Dividend"
50,21-01-2009,Quarterly Results
51,22-10-2008,Quarterly Results
52,31-07-2008,Quarterly Results
53,09-04-2008,Audited Results & Quarterly Results
54,05-02-2008,To consider raising of funds
55,29-01-2008,Quarterly Results
56,17-10-2007,Quarterly Results
57,25-07-2007,Quarterly Results
58,24-04-2007,Audited Results
59,22-01-2007,Quarterly Results
60,30-10-2006,Quarterly Results
61,25-07-2006,Quarterly Results
62,28-04-2006,Quarterly Results
63,19-01-2006,Quarterly Results
64,10-10-2005,Increase of aggregate FII Limit
65,01-08-2005,Quarterly Results
