,Meeting_Date,Remark
0,14-02-2019,Quarterly Results
1,31-10-2018,Quarterly Results
2,13-08-2018,Quarterly Results
3,11-06-2018,Audited Results
4,07-02-2018,Quarterly Results
5,14-11-2017,Quarterly Results
6,11-08-2017,Quarterly Results
7,18-05-2017,Audited Results
8,10-02-2017,Quarterly Results
9,23-11-2016,Others
10,14-11-2016,Quarterly Results
11,20-10-2016,Others
12,12-08-2016,Quarterly Results
13,30-06-2016,Audited Results
14,22-06-2016,Others
15,31-03-2016,Others
16,15-02-2016,Quarterly Results
17,21-12-2015,Quarterly Results
18,07-12-2015,Quarterly Results
19,20-10-2015,Others
20,14-08-2015,Quarterly Results & Others
21,29-05-2015,Audited Results
22,15-04-2015,Others
23,12-02-2015,Quarterly Results
24,23-01-2015,Quarterly Results
25,14-08-2014,Quarterly Results
26,30-05-2014,Audited Results
27,30-11-2013,Others
28,14-11-2013,Quarterly Results
29,14-08-2013,Quarterly Results
30,29-05-2013,Audited Results
31,12-02-2013,Quarterly Results
32,14-11-2012,Quarterly Results
33,13-08-2012,Quarterly Results
34,25-05-2012,"Audited Results, Dividend & Stock split"
35,01-02-2012,Quarterly Results
36,12-11-2011,Quarterly Results
37,10-08-2011,Quarterly Results
38,22-03-2011,General Purpose
39,07-02-2011,Quarterly Results
40,29-10-2010,Quarterly Results
41,02-09-2010,Raising of funds by issue of Securities
42,19-07-2010,Quarterly Results
43,21-05-2010,"Audited Results, Dividend & Merger"
44,29-01-2010,Quarterly Results & Others
45,09-01-2010,Acquisition of a Company in Canada
46,30-10-2009,Quarterly Results
47,30-07-2009,Quarterly Results & Others
48,25-06-2009,Audited Results & Dividend
49,14-05-2009,Others
50,30-01-2009,Quarterly Results & Others
51,31-10-2008,Quarterly Results
52,31-07-2008,Quarterly Results
53,15-05-2008,Audited Results & Dividend
54,28-01-2008,Quarterly Results
55,30-10-2007,Quarterly Results & Acquisition
