,Meeting_Date,Remark
0,10-01-2020,Right Issue of Equity Shares
1,29-11-2019,To consider raising of funds
2,01-11-2019,Quarterly Results
3,30-08-2019,Others
4,17-07-2019,Quarterly Results
5,26-04-2019,"Audited Results, Final Dividend & Others"
6,24-01-2019,Quarterly Results
7,25-10-2018,Quarterly Results
8,26-07-2018,Quarterly Results
9,26-04-2018,"Audited Results, Dividend & Others"
10,18-01-2018,Quarterly Results
11,26-10-2017,Quarterly Results
12,26-07-2017,Quarterly Results & Stock Split
13,27-04-2017,Others
14,19-04-2017,Audited Results & Dividend
15,31-03-2017,Others
16,19-01-2017,Quarterly Results
17,20-10-2016,Quarterly Results & Others
18,27-07-2016,Quarterly Results
19,27-04-2016,Audited Results & Dividend
20,29-01-2016,Quarterly Results
21,29-10-2015,Quarterly Results
22,29-07-2015,Quarterly Results
23,22-04-2015,Audited Results & Dividend
24,14-01-2015,Quarterly Results
25,30-10-2014,Quarterly Results
26,23-07-2014,Quarterly Results
27,23-04-2014,Audited Results & Dividend
28,15-01-2014,Quarterly Results
29,22-10-2013,Quarterly Results
30,24-07-2013,Quarterly Results
31,17-04-2013,Audited Results & Dividend
32,16-01-2013,Quarterly Results
33,23-10-2012,Quarterly Results
34,25-07-2012,Quarterly Results
35,25-04-2012,Audited Results & Dividend
36,24-01-2012,Quarterly Results
37,20-10-2011,Quarterly Results
38,21-07-2011,Quarterly Results
39,20-04-2011,Audited Results & Dividend
40,20-01-2011,Quarterly Results
41,20-10-2010,Quarterly Results
42,21-07-2010,Quarterly Results
43,27-04-2010,Audited Results & Dividend
44,20-01-2010,Quarterly Results
45,21-10-2009,Quarterly Results
46,21-07-2009,Quarterly Results & Others
47,22-04-2009,"Audited, Qtr, Results & Dividend"
48,21-01-2009,Quarterly Results
49,22-10-2008,Quarterly Results
50,31-07-2008,Quarterly Results
51,09-04-2008,Audited Results & Quarterly Results
52,05-02-2008,To consider raising of funds
53,29-01-2008,Quarterly Results
54,17-10-2007,Quarterly Results
55,25-07-2007,Quarterly Results
56,24-04-2007,Audited Results
57,22-01-2007,Quarterly Results
58,30-10-2006,Quarterly Results
59,25-07-2006,Quarterly Results
60,28-04-2006,Quarterly Results
61,19-01-2006,Quarterly Results
62,10-10-2005,Increase of aggregate FII Limit
63,01-08-2005,Quarterly Results
