,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,18-01-2019,1:3,07-03-2019,06-03-2019
1,25-04-2017,1:1,14-06-2017,13-06-2017
2,23-04-2010,2:3,16-06-2010,15-06-2010
3,22-04-2005,1:1,23-08-2005,22-08-2005
4,16-04-2004,2:1,28-06-2004,25-06-2004
5,13-09-1997,2:1,17-11-1997,20-10-1997
6,01-02-1995,1:1,30-11--0001,24-02-1995
7,30-07-1992,1:1,10-09-1992,12-08-1992
8,22-10-1989,1:1,30-11--0001,-
9,15-11-1987,1:1,30-11--0001,-
10,22-10-1985,1:1,30-11--0001,-
11,22-10-1981,1:1,30-11--0001,-
12,31-10-1971,1:3,30-11--0001,-
