,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,19-02-2020,03-03-2020,Interim,715.00,Rs.7.1500 per share(715%)Second Interim Dividend
1,07-10-2019,30-10-2019,Interim,335.00,Rs.3.3500 per share(335%)Interim Dividend
2,09-05-2019,13-06-2019,Final,765.00,Rs.7.6500 per share(765%)Final Dividend
3,04-10-2018,29-10-2018,Interim,285.00,Rs.2.8500 per share(285%)Interim Dividend
4,10-05-2018,14-06-2018,Final,605.00,Rs.6.0500 per share(605%)Final Dividend.
5,29-09-2017,31-10-2017,Interim,265.00,Rs.2.6500 per share(265%)Interim Dividend
6,11-05-2017,15-06-2017,Final,565.00,Rs.5.6500 per share(565%)Final Dividend
7,12-05-2017,15-06-2017,Special,200.00,Rs.2.0000 per share(200%)Special Dividend.
8,04-10-2016,01-11-2016,Interim,265.00,Rs.2.6500 per share(265%)Interim Dividend
9,11-05-2016,16-06-2016,Final,530.00,Rs.5.3000 per share(530%)Final Dividend
10,01-10-2015,28-10-2015,Interim,220.00,Rs.2.2000 per share(220%)Interim Dividend
11,18-05-2015,24-06-2015,Final,430.00,Rs.4.3000 per share(430%)Final Dividend
12,28-08-2014,22-09-2014,Interim,180.00,Rs.1.8000 per share(180%)Interim Dividend
13,14-05-2014,16-06-2014,Final,420.00,Rs.4.2000 per share(420%)Final Dividend
14,30-09-2013,24-10-2013,Interim,110.00,Rs.1.1000 per share(110%)Interim Dividend
15,09-05-2013,06-06-2013,Final,365.00,Rs.36.5000 per share(365%)Final Dividend
16,04-10-2012,29-10-2012,Interim,95.00,Rs.9.5000 per share(95%)Interim Dividend
17,08-05-2012,07-06-2012,Final,305.00,-
18,03-10-2011,25-10-2011,Interim,95.00,-
19,10-05-2011,09-06-2011,Final,235.00,-
20,12-10-2010,29-10-2010,Interim,85.00,-
21,28-05-2010,30-06-2010,Final,185.00,-
22,30-09-2009,26-10-2009,Interim,85.00,-
23,12-05-2009,17-06-2009,Final,110.00,-
24,07-10-2008,29-10-2008,Interim,65.00,-
25,09-05-2008,12-06-2008,Final,105.00,-
26,01-10-2007,25-10-2007,Interim,65.00,-
27,10-05-2007,13-06-2007,Final,10.00,AGM
28,06-03-2007,20-03-2007,Interim,65.00,Second Interim Dividend
29,11-10-2006,03-11-2006,Interim,55.00,-
30,10-05-2006,15-06-2006,Final,80.00,AGM (55% Final Dividend & 25% on the ocassion of 60th year of incorporation of the Company.
31,11-10-2005,31-10-2005,Interim,45.00,-
32,11-05-2005,22-06-2005,Final,55.00,AGM
33,11-10-2004,01-11-2004,Interim,40.00,-
34,11-05-2004,16-06-2004,Final,50.00,AGM
35,08-10-2003,07-11-2003,Interim,35.00,-
36,28-05-2003,09-07-2003,Final,65.00,AGM
37,19-09-2002,21-10-2002,Interim,45.00,-
38,29-05-2002,11-07-2002,Final,55.00,-
39,04-10-2001,19-10-2001,Interim,35.00,-
40,18-05-2001,02-08-2001,Final,40.00,AGM (Revised)
41,03-10-2000,16-10-2000,Interim,30.00,-
