,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,13-05-2019,22-05-2019,Final,575.00,Rs.5.7500 per share(575%)Dividend
1,16-05-2018,25-05-2018,Final,515.00,Rs.5.1500 per share(515%)Dividend
2,30-05-2017,05-06-2017,Final,475.00,Rs.4.7500 per share(475%)Dividend
3,20-05-2016,30-05-2016,Final,850.00,Rs.8.5000 per share(850%)Dividend
4,22-05-2015,03-06-2015,Final,625.00,Rs.6.2500 per share(625%)Dividend
5,23-05-2014,03-06-2014,Final,600.00,Rs.6.0000 per share(600%)Dividend
6,17-05-2013,31-05-2013,Final,525.00,Rs.5.2500 per share(525%)Dividend
7,25-05-2012,11-06-2012,Final,450.00,-
8,20-05-2011,10-06-2011,Final,445.00,Recommended a Special Dividend of Rs. 1.65 per Ordinary Share of Re. 1/- each and a Dividend of Rs. 2.80 per Ordinary Share of Re.1/- each.
9,21-05-2010,09-06-2010,Final,1000.00,"Special Centenary dividend of Re. 5.50 per Ordinary Share of Re 1/- each and a dividend of Re. 4.50 per Ordinary Share for the financial year ended March 31, 2010."
10,22-05-2009,13-07-2009,Final,370.00,-
11,23-05-2008,16-07-2008,Final,350.00,-
12,25-05-2007,16-07-2007,Final,310.00,AGM
13,26-05-2006,10-07-2006,Final,265.00,AGM
14,27-05-2005,18-07-2005,Final,310.00,AGM
15,13-05-2004,19-07-2004,Final,200.00,AGM
16,08-05-2003,14-07-2003,Final,150.00,-
17,14-05-2002,12-07-2002,Final,135.00,AGM
18,26-04-2001,03-07-2001,Final,100.00,AGM
