,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,20-04-2020,29-05-2020,Final,190.00,Rs.9.5000 per share(190%)Final Dividend
1,11-10-2019,23-10-2019,Interim,160.00,Rs.8.0000 per share(160%)Interim Dividend
2,12-04-2019,13-06-2019,Final,210.00,Rs.10.5000 per share(210%)Final Dividend
3,11-01-2019,24-01-2019,Special,80.00,Rs.4.0000 per share(80%)Special Dividend
4,16-10-2018,25-10-2018,Interim,140.00,Rs.7.0000 per share(140%)Interim Dividend
5,12-04-2018,14-06-2018,Final,410.00,Rs.20.5000 per share(410%)Final Dividend
6,13-04-2018,14-06-2018,Special,200.00,Rs.10.0000 per share(200%)Special Dividend
7,10-10-2017,31-10-2017,Interim,260.00,Rs.13.0000 per share(260%)Interim Dividend  & Buy Back of shares
8,13-04-2017,01-06-2017,Final,295.00,Rs.14.7500 per share(295%)Final Dividend.
9,16-09-2016,21-10-2016,Interim,220.00,Rs.11.0000 per share(220%)Interim Dividend
10,15-04-2016,09-06-2016,Final,285.00,Rs.14.2500 per share(285%)Final Dividend
11,15-09-2015,16-10-2015,Interim,200.00,Rs.10.0000 per share(200%)Interim Dividend
12,24-04-2015,15-06-2015,Final,590.00,Rs.29.5000 per share(590%)Final Dividend (equivalent to<br>Rs. 14.75/- per share<br>after 1:1 bonus issue)
13,28-08-2014,16-10-2014,Interim,600.00,Rs.30.0000 per share(600%)Interim Dividend
14,15-04-2014,29-05-2014,Final,860.00,Rs.43.0000 per share(860%)Final Dividend
15,26-09-2013,17-10-2013,Interim,400.00,Rs.20.0000 per share(400%)Interim Dividend
16,12-04-2013,30-05-2013,Final,540.00,Rs.27.0000 per share(540%)Final Dividend
17,24-09-2012,18-10-2012,Interim,300.00,Rs.15.0000 per share(300%)Interim Dividend
18,13-04-2012,24-05-2012,Final,640.00,Rs. 22.00 per share (440%) Final Dividend & Rs.10.00 per share (200%) Special Dividend
19,22-09-2011,20-10-2011,Interim,300.00,-
20,15-04-2011,26-05-2011,Final,400.00,-
21,29-09-2010,21-10-2010,Interim,800.00,Rs.10.00 per share(200%)Interim Dividend & Rs.30.00 per share(600%)Special Dividend.
22,13-04-2010,26-05-2010,Final,300.00,-
23,22-09-2009,15-10-2009,Interim,200.00,-
24,15-04-2009,04-06-2009,Final,270.00,-
25,25-09-2008,16-10-2008,Interim,200.00,-
26,15-04-2008,29-05-2008,Final,545.00,(Final Dividend 145% + Special Dividend  400%)
27,26-09-2007,18-10-2007,Interim,120.00,-
28,13-04-2007,06-06-2007,Final,130.00,AGM
29,28-09-2006,19-10-2006,Interim,100.00,-
30,14-04-2006,25-05-2006,Final,770.00,Silver Jubilee special dividend of Rs. 30 per share (600% on par value of Rs. 5 per share) & final dividend of Rs. 8.50/- per share (170% on an equity share par value Rs. 5/-).
31,23-09-2005,17-10-2005,Interim,130.00,-
32,14-04-2005,01-06-2005,Final,130.00,Final dividend of Rs. 6.50 per share (130% on an equity share par value Rs. 5/-).
33,01-10-2004,18-10-2004,Interim,100.00,(100% on a par value of Rs.5/- per share)
34,13-04-2004,26-05-2004,Final,2300.00,Final dividend of Rs. 15/- per share (300% on an equity share par value Rs. 5/-) & Special one-time dividend of Rs. 100/- per share (2000% on an equity share par value of Rs. 5/-). (Revised)
35,17-09-2003,16-10-2003,Interim,290.00,-
36,10-04-2003,28-05-2003,Final,290.00,AGM & Dividend
37,30-09-2002,30-10-2002,Interim,250.00,-
38,10-04-2002,21-05-2002,Final,250.00,Final dividend of Rs 12.50 for each share of par value of Rs 5 per share
39,05-10-2001,18-10-2001,Interim,150.00,-
40,11-04-2001,27-04-2001,Final,150.00,-
41,10-10-2000,25-10-2000,Interim,50.00,-
