,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,13-03-2020,24-03-2020,Interim,500.00,Rs.10.0000 per share(500%)First Interim Dividend
1,10-05-2019,24-07-2019,Final,900.00,Rs.18.0000 per share(900%)Dividend
2,28-05-2018,14-08-2018,Final,800.00,Rs.16.0000 per share(800%)Dividend
3,31-05-2017,11-08-2017,Final,700.00,Rs.14.0000 per share(700%)Dividend (Adjusted for Bonus)
4,25-05-2016,18-08-2016,Final,912.50,Rs.18.2500 per share(912.5%)Dividend
5,01-06-2015,01-09-2015,Final,812.50,Rs.16.2500 per share(812.5%)Dividend
6,30-05-2014,13-08-2014,Final,712.50,Rs.14.2500 per share(712.5%)Dividend
7,22-05-2013,13-08-2013,Final,616.50,Rs.18.5000 per share(925%)Dividend (Final dividend of Rs.18.50 per share is pre-bonus dividend).  Post bonus Dividend works out to Rs.12.33 per share. (Dividend per share taken as Rs. 12.33 per share (616.5%) on the Post bonus capital)
8,14-05-2012,14-08-2012,Final,825.00,Rs.16.50 per share(825%)Dividend
9,19-05-2011,17-08-2011,Final,725.00,-
10,17-05-2010,17-08-2010,Final,625.00,-
11,28-05-2009,18-08-2009,Final,525.00,-
12,29-05-2008,20-08-2008,Final,750.00,AGM
13,29-05-2007,14-08-2007,Final,100.00,Final Dividend of Rs. 2/-.
14,03-07-2007,17-07-2007,Interim,100.00,Special Interim Dividend of Rs. 2/-.
15,13-03-2007,28-03-2007,Interim,550.00,-
16,25-05-2006,14-08-2006,Final,1100.00,-
17,27-05-2005,12-08-2005,Final,875.00,Dividend of Rs.17.50 per equity shares of Rs.2/- each.
18,16-10-2004,01-11-2004,Interim,500.00,-
19,04-06-2004,14-09-2004,Final,800.00,Dividend Rs.16/- per share on equity share of Rs.2/- each.
20,29-05-2003,11-08-2003,Final,75.00,-
21,14-06-2002,22-07-2002,Final,70.00,-
22,29-05-2001,21-06-2001,Final,65.00,-
