,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,30-05-2016,18-07-2016,Final,10.00,Rs.0.2000 per share(10%)Dividend
1,29-05-2014,09-07-2014,Final,100.00,Rs.2.0000 per share(100%)Dividend
2,29-05-2013,30-07-2013,Final,100.00,Rs.2.0000 per share(100%)Dividend
3,29-05-2012,18-07-2012,Final,200.00,"Recommended a dividend of Rs. 4/- per Ordinary share (200%) and Rs. 4.10 per 'A' Ordinary share (205%), both of face value of Rs. 2/- each (post split) for FY 2011-12."
4,26-05-2011,19-07-2011,Final,200.00,Rs.20.00 per share(200%)Dividend
5,27-05-2010,10-08-2010,Final,150.00,-
6,29-05-2009,03-08-2009,Final,60.00,-
7,16-05-2008,16-06-2008,Final,150.00,-
8,18-05-2007,01-06-2007,Final,150.00,AGM
9,19-05-2006,23-06-2006,Final,130.00,-
10,17-05-2005,23-06-2005,Final,125.00,"(Rs.12.5 per share, including a special dividend of Rs.2.50 per share)"
11,20-05-2004,22-06-2004,Final,40.00,-
12,14-01-2004,12-02-2004,Interim,40.00,-
13,27-05-2003,30-06-2003,Final,40.00,-
