,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,25-04-2019,04-07-2019,Final,130.00,Rs.13.0000 per share(130%)Dividend
1,16-04-2018,05-07-2018,Final,100.00,Rs.10.0000 per share(100%)Dividend
2,16-05-2018,05-07-2018,Final,100.00,Rs.2.5040 per share(100%)Dividend
3,16-05-2017,20-07-2017,Final,100.00,Rs.10.0000 per share(100%)Dividend
4,26-05-2016,28-07-2016,Final,80.00,Rs.8.0000 per share(80%)Dividend
5,20-05-2015,23-07-2015,Final,80.00,Rs.8.0000 per share(80%)Dividend
6,14-05-2014,14-07-2014,Final,100.00,Rs.10.0000 per share(100%)Dividen
7,23-05-2013,15-07-2013,Final,80.00,Rs.8.0000 per share(80%)Dividend
8,18-05-2012,16-07-2012,Final,120.00,-
9,26-05-2011,04-07-2011,Final,120.00,-
10,27-05-2010,12-07-2010,Final,80.00,-
11,25-06-2009,06-07-2009,Final,160.00,-
12,26-06-2008,18-07-2008,Final,160.00,AGM
13,17-05-2007,08-06-2007,Final,155.00,155% Dividend ( 130% for the year 2006-07 and special dividend of 25% on occasion of the Cenetenary year of the company.)
14,15-05-2006,26-05-2006,Final,130.00,AGM
15,19-05-2005,07-06-2005,Final,130.00,AGM
16,07-05-2004,08-06-2004,Final,100.00,AGM
17,08-05-2003,09-06-2003,Final,80.00,AGM
18,30-05-2002,28-06-2002,Final,0.00,Nil Final Dividend
19,02-04-2002,28-05-2002,Interim,40.00,-
20,02-05-2002,28-05-2002,Interim,40.00,-
21,08-05-2001,24-05-2001,Final,50.00,AGM
