,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,26-02-2020,05-03-2020,Interim,390.00,Rs.3.9000 per share(390%)First Interim Dividend
1,05-03-2019,13-03-2019,Interim,185.00,Rs.1.8500 per share(185%)Second Interim Dividend
2,31-10-2018,06-11-2018,Interim,1700.00,Rs.17.0000 per share(1700%)Interim Dividend
3,09-03-2018,20-03-2018,Interim,2120.00,Rs.21.2000 per share(2120%)First Interiam Dividend
4,30-03-2017,11-04-2017,Interim,1770.00,Rs.17.7000 per share(1770%) Interim Dividend.
5,25-10-2016,07-11-2016,Interim,175.00,Rs.1.7500 per share(175%)Interim Dividend
6,20-10-2015,30-10-2015,Interim,350.00,Rs.3.5000 per share(350%)Interim Dividend
7,29-04-2015,06-07-2015,Final,235.00,Rs.2.3500 per share(235%)Final Dividend
8,21-10-2014,03-11-2014,Interim,175.00,Rs.1.7500 per share(175%)Interim Dividend
9,29-04-2014,04-07-2014,Final,175.00,Rs.1.7500 per share(175%)Final Dividend
10,28-10-2013,06-11-2013,Interim,150.00,Rs.1.5000 per share(150%)Interim Dividend
11,29-04-2013,31-05-2013,Final,10.00,Rs.0.1000 per share(10%)Dividend
12,24-04-2012,08-06-2012,Final,200.00,-
13,20-01-2012,01-02-2012,Interim,200.00,-
14,25-04-2011,30-06-2011,Final,350.00,-
15,20-04-2010,02-07-2010,Final,325.00,-
16,20-04-2009,31-07-2009,Final,225.00,(Revised)
17,29-04-2008,11-07-2008,Final,300.00,-
18,23-01-2008,06-02-2008,Interim,150.00,-
19,23-07-2007,21-09-2007,Final,250.00,(Revised)
20,01-02-2007,19-02-2007,Interim,150.00,-
21,30-10-2006,04-12-2006,Final,250.00,AGM
22,27-02-2006,13-03-2006,Interim,150.00,-
23,31-05-2005,11-07-2005,Final,200.00,AGM
24,17-12-2004,06-01-2005,Interim,50.00,-
25,20-05-2004,28-06-2004,Final,80.00,AGM
26,29-01-2004,12-02-2004,Interim,20.00,-
27,27-06-2003,09-09-2003,Final,25.00,-
28,22-05-2002,20-06-2002,Final,30.00,-
29,14-06-2001,23-07-2001,Final,30.00,-
