,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,14-01-2020,24-01-2020,Interim,50.00,Rs.1.0000 per share(50%)Interim Dividend
1,18-01-2019,29-01-2019,Interim,50.00,Rs.1.0000 per share(50%)Interim Dividend
2,11-01-2018,31-01-2018,Interim,50.00,Rs.1.0000 per share(50%)Interim Dividend
3,10-01-2017,02-02-2017,Interim,100.00,Rs.2.0000 per share(100%)Interim Dividend
4,20-04-2016,11-07-2016,Final,50.00,Rs.1.0000 per share(50%)Final Dividend
5,06-01-2016,25-01-2016,Interim,250.00,Rs.5.0000 per share(250%)Interim Dividend
6,21-04-2015,20-07-2015,Final,350.00,Rs.7.0000 per share(350%)Final Dividend
7,07-01-2015,22-01-2015,Interim,250.00,Rs.5.0000 per share(250%)Interim Dividend
8,17-04-2014,21-07-2014,Final,250.00,Rs.5.0000 per share(250%)Final Dividend  (B C Dates has been revised from 01/07/2014 to 23/07/2014)
9,13-01-2014,22-01-2014,Interim,150.00,Rs.3.0000 per share(150%)Interim Dividend
10,19-04-2013,27-06-2013,Final,250.00,Rs.5.0000 per share(250%)Final Dividend
11,15-01-2013,23-01-2013,Interim,100.00,Rs.2.0000 per share(100%)Interim Dividend
12,25-04-2012,28-06-2012,Final,200.00,-
13,10-01-2012,24-01-2012,Interim,100.00,-
14,27-04-2011,29-06-2011,Final,200.00,-
15,17-01-2011,27-01-2011,Interim,100.00,-
16,23-04-2010,15-06-2010,Final,300.00,(Revised from BC 01/07/2010 to 22/07/2010)
17,22-04-2009,29-06-2009,Final,200.00,-
18,21-04-2008,27-06-2008,Final,200.00,AGM
19,10-10-2007,25-10-2007,Interim,100.00,-
20,20-04-2007,28-06-2007,Final,50.00,AGM
21,14-03-2007,26-03-2007,Interim,250.00,-
22,19-04-2006,29-06-2006,Final,250.00,AGM
23,22-04-2005,29-06-2005,Final,250.00,AGM
24,16-04-2004,06-05-2004,Final,1450.00,The Board has also proposed a Final Dividend of Rs 4 per share and an one time dividend of Rs 25 per share.
25,17-04-2003,01-07-2003,Final,50.00,AGM
26,19-04-2002,28-06-2002,Final,50.00,AGM
27,20-04-2001,18-06-2001,Final,25.00,-
28,26-04-2000,08-05-2000,Interim,15.00,-
29,25-05-1999,05-07-1999,Final,15.00,-
30,26-05-1998,01-06-1998,Final,15.00,-
31,05-08-1997,25-08-1997,Final,25.00,dummy BC dates
32,19-07-1996,23-08-1996,Final,25.00,dummy bc dates
33,18-07-1995,28-08-1995,Final,25.00,dummy bc dates
34,07-07-1994,15-08-1994,Final,25.00,dummy bc dates
35,10-07-1993,02-09-1993,Final,25.00,dummy BC dates
36,02-07-1992,21-08-1992,Final,25.00,dummy BC dates
