,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,09-03-2020,19-03-2020,Interim,500.00,Rs.5.0000 per share(500%)Second Interim Dividend
1,11-11-2019,21-11-2019,Interim,600.00,Rs.6.0000 per share(600%)Interim Dividend
2,15-05-2019,11-07-2019,Final,508.00,Rs.5.0800 per share(508%)Final Dividend
3,09-11-2018,20-11-2018,Interim,200.00,Rs.2.0000 per share(200%)Interim Dividend
4,21-05-2018,02-08-2018,Final,215.00,Rs.2.1500 per share(215%)Final Dividend
5,09-11-2017,20-11-2017,Interim,200.00,Rs.2.0000 per share(200%)Interim Dividend.
6,24-05-2017,28-07-2017,Final,425.00,Rs.4.2500 per share(425%)Dividend
7,10-03-2016,22-03-2016,Interim,425.00,Rs.4.2500 per share(425%)Interim Dividend
8,29-05-2015,06-08-2015,Final,361.00,Rs.3.6100 per share(361%)Dividend
9,28-05-2014,30-07-2014,Final,323.00,Rs.3.2300 per share(323%)Dividend
10,14-05-2013,06-08-2013,Final,252.00,Rs.2.5200 per share(252%)Dividend
11,28-05-2012,03-08-2012,Final,189.00,-
12,17-05-2011,02-08-2011,Final,130.00,-
13,14-01-2011,28-01-2011,Final,100.00,One-Time Special Dividend of Rs. 2/- per equity share of Rs. 2/- each to commemorate the Silver Jubilee year of the Company.
14,14-01-2011,28-01-2011,Interim,100.00,One-Time Special Dividend of Rs. 2/- per equity share of Rs. 2/- each to commemorate the Silver Jubilee year of the Company.
15,20-05-2010,20-07-2010,Final,145.00,-
16,01-06-2009,21-07-2009,Final,40.00,-
17,25-06-2008,05-08-2008,Final,35.00,AGM
18,22-06-2007,31-07-2007,Final,35.00,AGM
19,23-06-2006,01-08-2006,Final,25.00,AGM
20,30-06-2005,09-08-2005,Final,20.00,AGM
21,24-06-2004,05-08-2004,Final,15.00,AGM
22,23-06-2003,24-07-2003,Final,15.00,-
23,25-06-2002,07-08-2002,Final,35.00,AGM
24,22-05-2001,06-07-2001,Final,35.00,AGM
